Date Hour Close High Low Open Volume
2012-06-15 09:10 88.01 88.24 87.84 88.0 34892
2012-06-15 09:20 88.21 88.34 87.98 87.98 17064
2012-06-15 09:30 88.34 88.49 88.06 88.18 25309
2012-06-15 09:40 88.16 88.5 88.13 88.29 29674
2012-06-15 09:50 88.19 88.21 88.0 88.15 29872
2012-06-15 10:00 87.68 88.18 87.68 88.18 16077
2012-06-15 10:10 87.7 87.77 87.61 87.72 10818
2012-06-15 10:20 87.71 87.82 87.61 87.72 15423
2012-06-15 10:30 87.74 87.75 87.56 87.72 7753
2012-06-15 10:40 87.86 87.92 87.65 87.7 11976
2012-06-15 10:50 87.86 87.94 87.74 87.85 8652
2012-06-15 11:00 87.92 88.0 87.79 87.81 11132
2012-06-15 11:10 88.11 88.11 87.93 87.96 12919
2012-06-15 11:20 87.9 88.26 87.87 88.15 13053
2012-06-15 11:30 88.0 88.06 87.76 87.88 8062
2012-06-15 11:40 88.17 88.23 88.03 88.03 19108
2012-06-15 11:50 88.21 88.35 88.05 88.18 35563
2012-06-15 12:00 88.5 88.92 88.16 88.16 485330
2012-06-15 12:10 88.45 88.53 88.28 88.48 25904
2012-06-15 12:20 88.29 88.47 88.26 88.45 11840
2012-06-15 12:30 88.41 88.51 88.31 88.31 11008
2012-06-15 12:40 88.39 88.46 88.34 88.42 7295
2012-06-15 12:50 88.45 88.49 88.35 88.35 4923
2012-06-15 13:00 88.6 88.63 88.41 88.41 20866
2012-06-15 13:10 88.63 88.72 88.51 88.57 9413
2012-06-15 13:20 88.61 88.71 88.54 88.66 6915
2012-06-15 13:30 88.49 88.62 88.44 88.62 9103
2012-06-15 13:40 88.5 88.55 88.47 88.5 3903
2012-06-15 13:50 88.33 88.51 88.33 88.5 5136
2012-06-15 14:00 88.37 88.43 88.29 88.32 11169
2012-06-15 14:10 88.24 88.39 88.17 88.39 8975
2012-06-15 14:20 88.09 88.25 88.09 88.24 3337
2012-06-15 14:30 88.16 88.28 88.06 88.08 10170
2012-06-15 14:40 88.07 88.2 88.03 88.12 8509
2012-06-15 14:50 87.97 88.14 87.97 88.09 7737
2012-06-15 15:00 87.78 87.97 87.78 87.96 7463
2012-06-15 15:10 87.87 87.89 87.68 87.8 12178
2012-06-15 15:20 87.84 87.96 87.75 87.85 5902
2012-06-15 15:30 87.91 87.94 87.82 87.83 9664
2012-06-15 15:40 87.79 88.04 87.74 87.89 12502
2012-06-15 15:50 88.32 88.34 87.74 87.78 37528
2012-06-15 16:00 88.51 88.65 88.2 88.31 54853
2012-06-15 16:10 88.26 88.59 88.24 88.51 10265
2012-06-15 16:20 88.31 88.43 88.29 88.3 9988
2012-06-15 16:30 88.16 88.34 88.05 88.31 16975
2012-06-15 16:40 88.13 88.24 88.04 88.2 17167
2012-06-15 16:50 88.13 88.17 87.99 88.13 8348
2012-06-15 17:00 88.03 88.13 87.98 88.11 9789
2012-06-15 17:10 87.86 88.04 87.86 88.03 19470
2012-06-15 17:20 87.7 88.0 87.7 87.9 13005
2012-06-15 17:30 87.83 87.9 87.63 87.69 24366
2012-06-15 17:40 87.87 87.87 87.87 87.87 399331
2012-06-18 09:10 88.64 88.85 88.22 88.22 45384
2012-06-18 09:20 88.77 88.85 88.54 88.69 26399
2012-06-18 09:30 88.74 88.85 88.56 88.77 33082
2012-06-18 09:40 88.83 88.84 88.62 88.68 12907
2012-06-18 09:50 89.05 89.05 88.71 88.82 23374
2012-06-18 10:00 89.06 89.26 88.99 89.07 23505
2012-06-18 10:10 89.02 89.12 88.93 89.03 21483
2012-06-18 10:20 88.9 89.07 88.87 88.99 18958
2012-06-18 10:30 88.76 88.87 88.44 88.85 31220
2012-06-18 10:40 88.69 88.83 88.68 88.76 25640
2012-06-18 10:50 88.72 88.8 88.57 88.69 29113
2012-06-18 11:00 88.93 88.98 88.71 88.72 21850
2012-06-18 11:10 88.77 88.95 88.7 88.93 22014
2012-06-18 11:20 88.93 89.04 88.73 88.73 16698
2012-06-18 11:30 88.93 89.08 88.76 88.93 28170
2012-06-18 11:40 88.88 89.01 88.77 88.92 14944
2012-06-18 11:50 88.8 88.91 88.7 88.84 14884
2012-06-18 12:00 88.77 88.86 88.66 88.78 15337
2012-06-18 12:10 88.82 88.83 88.62 88.77 16546
2012-06-18 12:20 88.71 88.85 88.69 88.79 16590
2012-06-18 12:30 88.75 88.78 88.69 88.74 9431
2012-06-18 12:40 88.63 88.79 88.51 88.76 12186
2012-06-18 12:50 88.68 88.68 88.5 88.63 6419
2012-06-18 13:00 88.65 88.67 88.58 88.67 13119
2012-06-18 13:10 88.74 88.9 88.54 88.66 18241
2012-06-18 13:20 88.79 88.85 88.6 88.75 7614
2012-06-18 13:30 88.8 88.87 88.73 88.81 6089
2012-06-18 13:40 88.85 88.93 88.77 88.8 7273
