Date Hour Close High Low Open Volume
2012-06-13 09:10 24.56 24.69 24.305 24.515 70961
2012-06-13 09:20 24.615 24.645 24.515 24.585 16425
2012-06-13 09:30 24.415 24.595 24.39 24.585 36950
2012-06-13 09:40 24.265 24.405 24.23 24.405 21872
2012-06-13 09:50 24.23 24.265 24.18 24.265 50608
2012-06-13 10:00 24.11 24.25 24.1 24.205 47254
2012-06-13 10:10 24.015 24.11 23.95 24.11 71425
2012-06-13 10:20 23.84 24.005 23.83 24.005 68996
2012-06-13 10:30 23.775 23.9 23.775 23.84 40078
2012-06-13 10:40 23.48 23.78 23.48 23.77 100488
2012-06-13 10:50 23.42 23.49 23.335 23.485 129981
2012-06-13 11:00 23.465 23.515 23.415 23.42 63589
2012-06-13 11:10 23.305 23.475 23.285 23.465 108184
2012-06-13 11:20 23.425 23.45 23.305 23.31 47312
2012-06-13 11:30 23.5 23.5 23.415 23.43 37027
2012-06-13 11:40 23.35 23.5 23.305 23.495 54198
2012-06-13 11:50 23.335 23.41 23.3 23.355 97914
2012-06-13 12:00 23.27 23.335 23.2 23.335 106739
2012-06-13 12:10 23.3 23.335 23.235 23.255 56828
2012-06-13 12:20 23.345 23.355 23.29 23.29 22692
2012-06-13 12:30 23.37 23.445 23.34 23.35 26805
2012-06-13 12:40 23.385 23.415 23.36 23.385 8943
2012-06-13 12:50 23.32 23.38 23.27 23.38 33071
2012-06-13 13:00 23.24 23.305 23.22 23.3 34748
2012-06-13 13:10 23.28 23.32 23.245 23.27 25981
2012-06-13 13:20 23.245 23.29 23.23 23.275 26496
2012-06-13 13:30 23.11 23.245 23.11 23.245 96006
2012-06-13 13:40 23.21 23.22 23.11 23.115 61897
2012-06-13 13:50 23.24 23.305 23.21 23.22 36972
2012-06-13 14:00 23.265 23.27 23.21 23.235 11052
2012-06-13 14:10 23.205 23.285 23.2 23.265 17449
2012-06-13 14:20 23.155 23.215 23.105 23.205 39660
2012-06-13 14:30 23.09 23.155 23.015 23.155 71865
2012-06-13 14:40 23.19 23.2 23.03 23.12 47479
2012-06-13 14:50 23.095 23.19 23.06 23.175 44371
2012-06-13 15:00 23.075 23.1 23.04 23.085 30430
2012-06-13 15:10 23.07 23.085 23.05 23.075 37497
2012-06-13 15:20 23.025 23.06 23.01 23.06 29522
2012-06-13 15:30 23.11 23.12 23.025 23.04 28694
