Date, Close, High, Low, Open, Volume
13/Jun/2012-09:00:00 11.275 11.275 11.275 11.275 45091
13/Jun/2012-09:10:00 11.29 11.315 11.22 11.27 245277
13/Jun/2012-09:20:00 11.3 11.315 11.26 11.295 102996
13/Jun/2012-09:30:00 11.285 11.3 11.265 11.3 88219
13/Jun/2012-09:40:00 11.245 11.28 11.215 11.28 119760
13/Jun/2012-09:50:00 11.31 11.33 11.22 11.24 316395
13/Jun/2012-10:00:00 11.295 11.34 11.295 11.31 92374
13/Jun/2012-10:10:00 11.215 11.295 11.21 11.295 122198
13/Jun/2012-10:20:00 11.175 11.21 11.13 11.205 176831
13/Jun/2012-10:30:00 11.12 11.19 11.12 11.17 167404
13/Jun/2012-10:40:00 11.08 11.12 11.07 11.12 190887
13/Jun/2012-10:50:00 11.065 11.07 11.03 11.07 147607
13/Jun/2012-11:00:00 11.085 11.1 11.06 11.07 221396
13/Jun/2012-11:10:00 11.105 11.12 11.085 11.09 113580
13/Jun/2012-11:20:00 11.115 11.115 11.08 11.11 108751
13/Jun/2012-11:30:00 11.145 11.155 11.12 11.12 89140
13/Jun/2012-11:40:00 11.03 11.15 11.015 11.15 268787
13/Jun/2012-11:50:00 11.045 11.065 11.025 11.03 100947
959914
08/Jun/2012-17:00:00 11.395 11.405 11.25 11.27 1145878
08/Jun/2012-18:00:00 11.345 11.435 11.33 11.395 1515937
11/Jun/2012-09:00:00 11.79 11.79 11.79 11.79 223198
11/Jun/2012-10:00:00 11.705 11.87 11.67 11.79 1727019
11/Jun/2012-11:00:00 11.735 11.775 11.69 11.71 892054
11/Jun/2012-12:00:00 11.63 11.77 11.625 11.74 382239
11/Jun/2012-13:00:00 11.62 11.665 11.61 11.625 438354
11/Jun/2012-14:00:00 11.515 11.62 11.47 11.61 679661
11/Jun/2012-15:00:00 11.525 11.545 11.47 11.515 321691
11/Jun/2012-16:00:00 11.325 11.535 11.305 11.53 883787
11/Jun/2012-17:00:00 11.23 11.36 11.185 11.32 1703319
11/Jun/2012-18:00:00 11.13 11.245 11.115 11.225 2885817
12/Jun/2012-09:00:00 11.04 11.05 11.04 11.05 158848
12/Jun/2012-10:00:00 11.04 11.16 11.015 11.05 1216842
12/Jun/2012-11:00:00 11.185 11.185 10.96 11.04 912939
12/Jun/2012-12:00:00 11.2 11.295 11.125 11.19 801341
12/Jun/2012-13:00:00 11.145 11.245 11.125 11.2 380742
12/Jun/2012-14:00:00 11.105 11.15 11.105 11.15 206054
12/Jun/2012-15:00:00 11.12 11.145 11.06 11.105 435175
12/Jun/2012-16:00:00 11.155 11.22 11.105 11.13 696135
12/Jun/2012-17:00:00 11.08 11.2 11.0 11.155 851261
12/Jun/2012-18:00:00 11.175 11.2 11.06 11.085 1409274
13/Jun/2012-09:00:00 11.275 11.275 11.275 11.275 45091
13/Jun/2012-10:00:00 11.295 11.34 11.215 11.27 965021
13/Jun/2012-11:00:00 11.085 11.295 11.03 11.295 1026323
