Date, Close, High, Low, Open, Volume
07 Jun 2012 - 09:10:00,9.685,9.769,9.663,9.742,722977
07 Jun 2012 - 09:20:00,9.81,9.81,9.677,9.685,649256
07 Jun 2012 - 09:30:00,9.846,9.85,9.806,9.81,430702
07 Jun 2012 - 09:40:00,9.802,9.856,9.797,9.846,285820
07 Jun 2012 - 09:50:00,9.786,9.802,9.759,9.802,422835
07 Jun 2012 - 10:00:00,9.74,9.8,9.734,9.782,341076
07 Jun 2012 - 10:10:00,9.723,9.759,9.71,9.738,262320
07 Jun 2012 - 10:20:00,9.722,9.74,9.71,9.725,301593
07 Jun 2012 - 10:30:00,9.732,9.732,9.685,9.718,249364
07 Jun 2012 - 10:40:00,9.706,9.749,9.705,9.731,223801
07 Jun 2012 - 10:50:00,9.738,9.755,9.689,9.705,243874
07 Jun 2012 - 11:00:00,9.718,9.759,9.712,9.735,123493
07 Jun 2012 - 11:10:00,9.745,9.753,9.716,9.721,121462
07 Jun 2012 - 11:20:00,9.764,9.775,9.732,9.742,272378
07 Jun 2012 - 11:30:00,9.765,9.775,9.748,9.762,328036
07 Jun 2012 - 11:40:00,9.748,9.769,9.747,9.765,187050
07 Jun 2012 - 11:50:00,9.742,9.748,9.732,9.741,150434
07 Jun 2012 - 12:00:00,9.736,9.75,9.73,9.749,93742
07 Jun 2012 - 12:10:00,9.734,9.74,9.721,9.735,97734
07 Jun 2012 - 12:20:00,9.714,9.734,9.709,9.73,153968
07 Jun 2012 - 12:30:00,9.729,9.736,9.708,9.71,61125
07 Jun 2012 - 12:40:00,9.73,9.749,9.722,9.725,86847
07 Jun 2012 - 12:50:00,9.692,9.731,9.686,9.731,128541
07 Jun 2012 - 13:00:00,9.77,9.783,9.69,9.692,212805
07 Jun 2012 - 13:10:00,9.796,9.84,9.766,9.766,691902
07 Jun 2012 - 13:20:00,9.8,9.809,9.764,9.796,236963
07 Jun 2012 - 13:30:00,9.787,9.821,9.787,9.796,136657
07 Jun 2012 - 13:40:00,9.777,9.8,9.765,9.79,127825
07 Jun 2012 - 13:50:00,9.793,9.799,9.765,9.781,101848
07 Jun 2012 - 14:00:00,9.782,9.811,9.782,9.799,168824
07 Jun 2012 - 14:10:00,9.77,9.792,9.763,9.78,113645
07 Jun 2012 - 14:20:00,9.794,9.805,9.762,9.762,68583
07 Jun 2012 - 14:30:00,9.767,9.794,9.762,9.794,79877
07 Jun 2012 - 14:40:00,9.744,9.78,9.744,9.766,81003
07 Jun 2012 - 14:50:00,9.76,9.767,9.743,9.743,44520
07 Jun 2012 - 15:00:00,9.742,9.767,9.732,9.758,52930
07 Jun 2012 - 15:10:00,9.768,9.773,9.732,9.742,116572
07 Jun 2012 - 15:20:00,9.787,9.809,9.763,9.768,174945
07 Jun 2012 - 15:30:00,9.879,9.886,9.771,9.786,545683
07 Jun 2012 - 15:40:00,9.874,9.889,9.847,9.879,421866
07 Jun 2012 - 15:50:00,9.829,9.869,9.82,9.869,93634
07 Jun 2012 - 16:00:00,9.821,9.838,9.798,9.831,160125
07 Jun 2012 - 16:10:00,9.767,9.836,9.757,9.819,239344
07 Jun 2012 - 16:20:00,9.714,9.766,9.714,9.761,162664
07 Jun 2012 - 16:30:00,9.758,9.777,9.709,9.713,147750
07 Jun 2012 - 16:40:00,9.719,9.764,9.716,9.755,257111
07 Jun 2012 - 16:50:00,9.697,9.732,9.672,9.722,370988
07 Jun 2012 - 17:00:00,9.707,9.707,9.672,9.689,228073
07 Jun 2012 - 17:10:00,9.697,9.718,9.689,9.708,295925
07 Jun 2012 - 17:20:00,9.66,9.696,9.641,9.696,470908
07 Jun 2012 - 17:30:00,9.657,9.687,9.657,9.666,302113
07 Jun 2012 - 17:40:00,9.683,9.683,9.683,9.683,1537647
9.808,9.811,9.792,9.796,82648
07 Jun 2012 - 13:30:00,9.787,9.821,9.787,9.808,54009
07 Jun 2012 - 13:35:00,9.78,9.8,9.766,9.79,79222
07 Jun 2012 - 13:40:00,9.777,9.779,9.765,9.777,48603
07 Jun 2012 - 13:45:00,9.781,9.784,9.765,9.781,44671
07 Jun 2012 - 13:50:00,9.793,9.799,9.784,9.788,57177
07 Jun 2012 - 13:55:00,9.79,9.811,9.787,9.799,110005
07 Jun 2012 - 14:00:00,9.782,9.804,9.782,9.792,58819
07 Jun 2012 - 14:05:00,9.774,9.792,9.774,9.78,54035
07 Jun 2012 - 14:10:00,9.77,9.782,9.763,9.777,59610
07 Jun 2012 - 14:15:00,9.776,9.776,9.762,9.762,29825
07 Jun 2012 - 14:20:00,9.794,9.805,9.777,9.777,38758
07 Jun 2012 - 14:25:00,9.78,9.794,9.771,9.794,45117
07 Jun 2012 - 14:30:00,9.767,9.774,9.762,9.774,34760
07 Jun 2012 - 14:35:00,9.771,9.78,9.766,9.766,47680
