Date Hour Close High Low Open Volume
2012-06-15 09:10 28.6 28.7 28.475 28.485 526074
2012-06-15 09:20 28.625 28.7 28.575 28.585 377871
2012-06-15 09:30 28.755 28.775 28.63 28.63 300490
2012-06-15 09:40 28.745 28.815 28.54 28.73 296700
2012-06-15 09:50 28.75 28.755 28.68 28.73 171779
2012-06-15 10:00 28.685 28.73 28.62 28.73 232545
2012-06-15 10:10 28.785 28.8 28.645 28.68 202250
2012-06-15 10:20 28.755 28.85 28.74 28.8 173949
2012-06-15 10:30 28.82 28.84 28.72 28.78 91959
2012-06-15 10:40 28.865 28.9 28.765 28.8 347325
2012-06-15 10:50 28.89 28.94 28.84 28.86 233600
2012-06-15 11:00 28.835 28.915 28.83 28.89 212502
2012-06-15 11:10 28.915 28.93 28.835 28.845 137352
2012-06-15 11:20 28.895 28.925 28.84 28.915 163630
2012-06-15 11:30 28.98 29.0 28.815 28.895 405413
2012-06-15 11:40 28.965 29.0 28.95 28.97 232560
2012-06-15 11:50 28.98 29.0 28.905 28.97 389452
2012-06-15 12:00 29.055 29.065 28.91 28.99 2161520
2012-06-15 12:10 29.025 29.09 28.955 29.055 455379
2012-06-15 12:20 28.93 29.05 28.91 29.025 264041
2012-06-15 12:30 29.035 29.07 28.93 28.93 203496
2012-06-15 12:40 29.035 29.075 29.0 29.035 91831
2012-06-15 12:50 29.08 29.1 29.03 29.035 127637
2012-06-15 13:00 29.18 29.2 29.05 29.08 145032
2012-06-15 13:10 29.22 29.27 29.165 29.19 150943
2012-06-15 13:20 29.265 29.31 29.17 29.235 189804
2012-06-15 13:30 29.29 29.29 29.205 29.265 118572
2012-06-15 13:40 29.305 29.325 29.265 29.29 128053
2012-06-15 13:50 29.185 29.32 29.175 29.31 135051
2012-06-15 14:00 29.115 29.18 29.085 29.18 188319
2012-06-15 14:10 29.14 29.22 29.105 29.12 162240
2012-06-15 14:20 29.065 29.16 29.045 29.145 134598
2012-06-15 14:30 29.065 29.15 29.04 29.07 129552
2012-06-15 14:40 29.12 29.13 29.015 29.04 109748
2012-06-15 14:50 29.065 29.145 29.035 29.13 104084
2012-06-15 15:00 29.01 29.115 28.985 29.065 81782
2012-06-15 15:10 29.1 29.125 28.94 29.02 293410
2012-06-15 15:20 29.05 29.14 29.025 29.085 74942
