Date Hour Close High Low Open Volume
2012-06-13 09:10 28.28 28.3 28.06 28.125 32070
2012-06-13 09:20 28.35 28.35 28.19 28.29 24837
2012-06-13 09:30 28.175 28.31 28.16 28.305 9988
2012-06-13 09:40 28.11 28.185 28.075 28.185 6352
2012-06-13 09:50 28.13 28.155 28.09 28.135 10151
2012-06-13 10:00 28.13 28.19 28.13 28.145 5181
2012-06-13 10:10 28.075 28.145 28.055 28.145 8307
2012-06-13 10:20 28.055 28.08 27.96 28.08 13115
2012-06-13 10:30 27.935 28.06 27.92 28.03 7502
2012-06-13 10:40 27.825 27.93 27.825 27.905 7112
2012-06-13 10:50 27.775 27.815 27.705 27.815 12549
2012-06-13 11:00 27.84 27.85 27.775 27.79 7304
2012-06-13 11:10 27.85 27.875 27.78 27.83 11878
2012-06-13 11:20 27.99 27.99 27.84 27.85 30160
2012-06-13 11:30 28.01 28.04 27.935 27.99 10274
2012-06-13 11:40 27.84 28.005 27.81 28.0 13421
2012-06-13 11:50 27.84 27.875 27.835 27.84 4373
2012-06-13 12:00 27.8 27.85 27.735 27.85 11659
2012-06-13 12:10 27.83 27.89 27.74 27.77 22860
2012-06-13 12:20 27.855 27.92 27.825 27.875 3642
2012-06-13 12:30 27.905 27.945 27.825 27.885 14145
2012-06-13 12:40 27.81 27.93 27.81 27.93 5568
2012-06-13 12:50 27.805 27.825 27.76 27.825 11049
2012-06-13 13:00 27.795 27.815 27.765 27.81 2708
2012-06-13 13:10 27.775 27.83 27.775 27.82 2037
2012-06-13 13:20 27.78 27.8 27.765 27.795 3727
2012-06-13 13:30 27.73 27.775 27.68 27.775 11552
2012-06-13 13:40 27.745 27.76 27.715 27.745 4388
2012-06-13 13:50 27.785 27.83 27.725 27.73 9230
2012-06-13 14:00 27.82 27.835 27.795 27.795 2769
2012-06-13 14:10 27.775 27.81 27.775 27.81 1984
2012-06-13 14:20 27.72 27.805 27.72 27.8 1766
2012-06-13 14:30 27.55 27.74 27.55 27.74 19989
2012-06-13 14:40 27.675 27.675 27.565 27.595 19557
2012-06-13 14:50 27.48 27.68 27.44 27.68 38224
2012-06-13 15:00 27.475 27.49 27.435 27.475 17781
2012-06-13 15:10 27.43 27.475 27.4 27.475 17837
2012-06-13 15:20 27.38 27.425 27.375 27.42 37346
2012-06-13 15:30 27.39 27.435 27.38 27.4 38951
2012-06-13 15:40 27.355 27.39 27.275 27.39 34368
2012-06-13 15:50 27.36 27.385 27.325 27.325 4782
2012-06-13 16:00 27.355 27.37 27.27 27.37 12878
2012-06-13 16:10 27.425 27.46 27.375 27.375 38334
2012-06-13 16:20 27.51 27.525 27.44 27.44 18441
2012-06-13 16:30 27.46 27.535 27.42 27.5 25982
2012-06-13 16:40 27.585 27.605 27.455 27.46 24055
2012-06-13 16:50 27.505 27.59 27.48 27.59 14562
2012-06-13 17:00 27.5 27.56 27.495 27.515 20072
2012-06-13 17:10 27.375 27.485 27.365 27.485 21114
2012-06-13 17:20 27.38 27.39 27.33 27.38 21236
2012-06-13 17:30 27.36 27.45 27.35 27.375 35324
2012-06-13 17:40 27.35 27.35 27.35 27.35 274872
2012-06-14 09:10 27.25 27.56 27.25 27.35 44824
2012-06-14 09:20 27.26 27.37 27.175 27.245 17634
2012-06-14 09:30 27.335 27.345 27.27 27.275 3900
2012-06-14 09:40 27.365 27.375 27.22 27.29 11819
2012-06-14 09:50 27.31 27.37 27.24 27.37 5978
2012-06-14 10:00 27.195 27.32 27.19 27.29 13555
2012-06-14 10:10 27.135 27.185 27.06 27.185 21483
2012-06-14 10:20 27.075 27.11 26.995 27.095 16027
2012-06-14 10:30 26.935 27.08 26.9 27.08 16330
2012-06-14 10:40 27.0 27.045 26.945 26.95 10922
2012-06-14 10:50 26.9 27.025 26.9 27.005 6929
2012-06-14 11:00 26.98 26.98 26.85 26.92 6448
2012-06-14 11:10 26.83 26.955 26.76 26.955 27545
2012-06-14 11:20 26.815 26.905 26.815 26.845 14731
2012-06-14 11:30 26.845 26.88 26.8 26.84 12062
2012-06-14 11:40 26.805 26.87 26.8 26.845 10888
2012-06-14 11:50 26.81 26.835 26.775 26.81 4788
2012-06-14 12:00 26.87 26.87 26.765 26.81 11155
2012-06-14 12:10 26.825 26.89 26.825 26.87 8172
2012-06-14 12:20 26.83 26.865 26.81 26.84 12505
2012-06-14 12:30 26.92 26.92 26.81 26.825 11731
2012-06-14 12:40 26.98 27.04 26.905 26.92 13424
2012-06-14 12:50 26.98 27.055 26.97 26.97 5600
2012-06-14 13:00 26.94 26.985 26.935 26.98 4178
2012-06-14 13:10 26.93 26.945 26.925 26.925 3443
2012-06-14 13:20 26.945 26.98 26.91 26.915 7187
2012-06-14 13:30 26.925 26.94 26.905 26.94 2551
2012-06-14 13:40 26.895 26.98 26.865 26.925 8110
2012-06-14 13:50 26.84 26.87 26.84 26.865 6793
2012-06-14 14:00 26.875 26.895 26.8 26.825 5787
2012-06-14 14:10 26.9 26.935 26.875 26.89 11997
2012-06-14 14:20 26.95 26.95 26.885 26.905 6042
2012-06-14 14:30 26.945 26.96 26.86 26.94 8836
2012-06-14 14:40 26.83 26.905 26.81 26.855 5243
2012-06-14 14:50 26.93 26.93 26.875 26.895 6326
2012-06-14 15:00 26.92 27.015 26.92 26.95 20497
2012-06-14 15:10 26.935 26.99 26.915 26.92 18446
2012-06-14 15:20 26.895 26.95 26.895 26.935 31250
2012-06-14 15:30 26.925 26.94 26.845 26.895 30665
2012-06-14 15:40 26.855 26.94 26.835 26.915 11316
2012-06-14 15:50 26.835 26.87 26.795 26.81 10265
2012-06-14 16:00 26.92 26.92 26.795 26.815 10658
2012-06-14 16:10 26.96 26.99 26.905 26.905 20467
2012-06-14 16:20 26.94 26.985 26.89 26.965 11324
2012-06-14 16:30 26.99 27.01 26.905 26.93 17717
2012-06-14 16:40 26.965 27.005 26.94 26.995 12322
2012-06-14 16:50 27.005 27.02 26.955 26.985 12543
2012-06-14 17:00 27.025 27.06 26.99 27.005 26703
2012-06-14 17:10 27.04 27.04 27.0 27.03 19393
2012-06-14 17:20 27.025 27.065 27.015 27.04 33659
2012-06-14 17:30 27.07 27.08 27.02 27.05 14663
2012-06-14 17:40 27.06 27.06 27.06 27.06 158076
2012-06-15 09:10 27.365 27.38 27.12 27.205 26232
2012-06-15 09:20 27.435 27.435 27.35 27.39 18872
2012-06-15 09:30 27.5 27.57 27.41 27.425 15351
2012-06-15 09:40 27.47 27.55 27.46 27.505 6207
2012-06-15 09:50 27.49 27.495 27.415 27.46 16596
2012-06-15 10:00 27.325 27.47 27.325 27.47 3850
2012-06-15 10:10 27.32 27.32 27.245 27.32 15395
2012-06-15 10:20 27.405 27.455 27.33 27.33 9202
2012-06-15 10:30 27.395 27.445 27.385 27.43 5091
2012-06-15 10:40 27.47 27.48 27.39 27.4 4973
2012-06-15 10:50 27.46 27.495 27.435 27.45 19651
2012-06-15 11:00 27.545 27.55 27.45 27.455 24069
2012-06-15 11:10 27.63 27.63 27.545 27.555 7605
2012-06-15 11:20 27.56 27.67 27.55 27.63 16854
2012-06-15 11:30 27.61 27.625 27.53 27.59 11024
2012-06-15 11:40 27.65 27.65 27.595 27.6 9698
2012-06-15 11:50 27.625 27.65 27.53 27.645 38235
2012-06-15 12:00 27.56 27.685 27.56 27.63 72111
2012-06-15 12:10 27.575 27.6 27.515 27.59 18196
2012-06-15 12:20 27.58 27.635 27.555 27.575 27118
2012-06-15 12:30 27.63 27.685 27.58 27.58 8665
2012-06-15 12:40 27.7 27.7 27.645 27.66 3954
2012-06-15 12:50 27.685 27.77 27.685 27.695 12605
2012-06-15 13:00 27.8 27.8 27.695 27.695 3204
2012-06-15 13:10 27.83 27.84 27.78 27.785 4701
2012-06-15 13:20 27.855 27.89 27.815 27.815 4145
2012-06-15 13:30 27.89 27.9 27.805 27.87 7856
2012-06-15 13:40 27.865 27.92 27.86 27.905 3388
2012-06-15 13:50 27.785 27.89 27.77 27.855 9735
2012-06-15 14:00 27.81 27.83 27.775 27.795 7301
2012-06-15 14:10 27.76 27.82 27.735 27.805 14596
2012-06-15 14:20 27.735 27.76 27.71 27.755 7224
2012-06-15 14:30 27.725 27.775 27.7 27.725 15160
2012-06-15 14:40 27.75 27.755 27.64 27.665 10440
2012-06-15 14:50 27.775 27.785 27.74 27.77 6316
2012-06-15 15:00 27.75 27.795 27.72 27.75 9435
2012-06-15 15:10 27.73 27.74 27.66 27.725 6280
2012-06-15 15:20 27.745 27.76 27.695 27.74 13154
2012-06-15 15:30 27.8 27.8 27.735 27.735 4852
2012-06-15 15:40 27.79 27.845 27.76 27.79 16549
2012-06-15 15:50 28.0 28.0 27.785 27.785 24508
2012-06-15 16:00 28.18 28.18 27.965 28.0 50484
2012-06-15 16:10 28.065 28.185 28.05 28.175 20321
2012-06-15 16:20 28.035 28.145 28.035 28.07 16614
2012-06-15 16:30 28.06 28.065 27.985 28.03 29789
2012-06-15 16:40 28.075 28.1 28.04 28.055 9879
2012-06-15 16:50 28.075 28.09 28.025 28.07 5019
2012-06-15 17:00 28.05 28.09 28.05 28.09 11201
2012-06-15 17:10 28.025 28.065 28.015 28.065 7709
2012-06-15 17:20 28.025 28.045 28.005 28.035 15115
2012-06-15 17:30 28.075 28.095 28.02 28.02 22332
2012-06-15 17:40 28.035 28.035 28.035 28.035 317942
2012-06-18 09:10 28.645 28.78 28.42 28.57 54741
2012-06-18 09:20 28.585 28.69 28.51 28.67 30276
2012-06-18 09:30 28.53 28.635 28.48 28.58 16358
2012-06-18 09:40 28.585 28.595 28.495 28.555 10244
2012-06-18 09:50 28.53 28.65 28.525 28.595 15160
2012-06-18 10:00 28.45 28.565 28.45 28.53 12648
2012-06-18 10:10 28.28 28.46 28.245 28.445 30688
2012-06-18 10:20 28.1 28.285 28.1 28.27 17756
2012-06-18 10:30 27.975 28.1 27.84 28.1 25723
2012-06-18 10:40 27.92 28.04 27.915 27.98 8843
2012-06-18 10:50 28.0 28.0 27.905 27.94 8728
2012-06-18 11:00 28.14 28.14 27.985 28.0 12109
2012-06-18 11:10 28.055 28.14 28.055 28.135 7331
2012-06-18 11:20 28.22 28.255 28.11 28.11 12662
2012-06-18 11:30 28.285 28.325 28.22 28.24 8866
2012-06-18 11:40 28.345 28.39 28.265 28.265 13309
2012-06-18 11:50 28.335 28.35 28.29 28.31 6638
2012-06-18 12:00 28.355 28.37 28.27 28.345 6520
2012-06-18 12:10 28.365 28.39 28.305 28.36 10577
2012-06-18 12:20 28.43 28.44 28.345 28.36 11071
2012-06-18 12:30 28.46 28.47 28.375 28.44 5777
2012-06-18 12:40 28.345 28.44 28.29 28.44 10687
2012-06-18 12:50 28.345 28.365 28.255 28.315 6617
2012-06-18 13:00 28.3 28.34 28.28 28.335 4413
2012-06-18 13:10 28.31 28.37 28.23 28.31 11410
2012-06-18 13:20 28.265 28.325 28.245 28.285 5659
2012-06-18 13:30 28.27 28.295 28.245 28.285 5157
2012-06-18 13:40 28.285 28.325 28.245 28.29 6446
2012-06-18 13:50 28.12 28.3 28.12 28.28 8969
2012-06-18 14:00 28.105 28.185 28.105 28.15 13613
2012-06-18 14:10 28.125 28.185 28.1 28.12 15146
2012-06-18 14:20 28.1 28.185 28.09 28.135 11248
2012-06-18 14:30 28.0 28.11 27.95 28.1 20844
2012-06-18 14:40 27.945 28.035 27.93 28.025 8765
2012-06-18 14:50 27.82 27.945 27.82 27.93 17393
2012-06-18 15:00 27.84 27.86 27.805 27.835 6377
2012-06-18 15:10 27.89 27.925 27.855 27.86 11469
2012-06-18 15:20 27.865 27.945 27.865 27.915 5709
2012-06-18 15:30 27.885 27.905 27.875 27.885 4255
2012-06-18 15:40 27.995 27.995 27.77 27.875 28591
2012-06-18 15:50 27.98 28.035 27.965 27.965 4826
2012-06-18 16:00 28.05 28.05 27.93 27.995 9441
2012-06-18 16:10 28.015 28.05 27.99 28.045 20055
2012-06-18 16:20 28.085 28.085 27.975 28.025 28255
2012-06-18 16:30 28.08 28.09 28.045 28.07 8290
2012-06-18 16:40 28.05 28.09 28.015 28.085 29417
2012-06-18 16:50 28.01 28.055 27.96 28.05 32920
2012-06-18 17:00 27.945 28.045 27.91 28.015 26495
2012-06-18 17:10 27.83 27.965 27.83 27.965 24863
2012-06-18 17:20 27.86 27.93 27.835 27.84 20024
2012-06-18 17:30 27.8 27.87 27.775 27.86 98231
2012-06-18 17:40 27.84 27.84 27.84 27.84 75433
2012-06-19 09:10 28.095 28.18 27.98 28.0 12779
2012-06-19 09:20 28.135 28.165 28.065 28.095 14887
2012-06-19 09:30 27.975 28.085 27.975 28.055 9893
2012-06-19 09:40 28.0 28.11 27.95 27.95 15839
2012-06-19 09:50 27.995 28.01 27.965 27.995 50923
2012-06-19 10:00 27.98 28.0 27.905 28.0 31429
2012-06-19 10:10 27.75 27.98 27.68 27.98 53596
2012-06-19 10:20 27.75 27.805 27.74 27.76 33609
2012-06-19 10:30 27.735 27.825 27.705 27.765 6842
2012-06-19 10:40 27.82 27.85 27.755 27.775 3955
2012-06-19 10:50 27.85 27.885 27.83 27.855 14572
2012-06-19 11:00 27.835 27.965 27.835 27.85 9544
2012-06-19 11:10 27.855 27.93 27.735 27.81 20035
2012-06-19 11:20 27.905 27.93 27.835 27.835 2881
2012-06-19 11:30 27.915 27.995 27.9 27.905 13733
2012-06-19 11:40 27.895 27.945 27.89 27.94 6536
2012-06-19 11:50 27.815 27.9 27.805 27.88 4524
2012-06-19 12:00 27.88 27.92 27.86 27.875 7376
2012-06-19 12:10 27.93 27.965 27.885 27.885 6404
2012-06-19 12:20 27.93 27.945 27.91 27.935 4112
2012-06-19 12:30 27.965 27.965 27.91 27.93 4740
2012-06-19 12:40 27.965 27.965 27.9 27.95 6730
2012-06-19 12:50 28.03 28.035 27.955 27.995 5037
2012-06-19 13:00 28.045 28.045 27.99 28.015 6677
2012-06-19 13:10 28.105 28.115 28.04 28.04 7061
2012-06-19 13:20 28.15 28.155 28.09 28.09 3250
2012-06-19 13:30 28.145 28.18 28.12 28.165 6662
2012-06-19 13:40 28.15 28.165 28.11 28.165 2146
2012-06-19 13:50 28.225 28.24 28.155 28.155 9655
2012-06-19 14:00 28.2 28.27 28.15 28.23 30572
2012-06-19 14:10 28.28 28.28 28.21 28.21 9532
2012-06-19 14:20 28.22 28.31 28.2 28.29 14605
2012-06-19 14:30 28.235 28.235 28.205 28.21 3011
2012-06-19 14:40 28.18 28.235 28.18 28.23 7976
2012-06-19 14:50 28.22 28.22 28.155 28.19 7198
2012-06-19 15:00 28.2 28.255 28.185 28.235 5365
2012-06-19 15:10 28.37 28.375 28.2 28.2 5756
2012-06-19 15:20 28.3 28.36 28.295 28.36 9202
