Date, Close, High, Low, Open, Volume
07 Jun 2012 - 09:10:00,3.114,3.146,3.113,3.14,901707
07 Jun 2012 - 09:20:00,3.175,3.178,3.12,3.12,898685
07 Jun 2012 - 09:30:00,3.168,3.178,3.159,3.175,411425
07 Jun 2012 - 09:40:00,3.174,3.187,3.167,3.17,417238
07 Jun 2012 - 09:50:00,3.17,3.178,3.161,3.174,247203
07 Jun 2012 - 10:00:00,3.146,3.176,3.135,3.17,834799
07 Jun 2012 - 10:10:00,3.14,3.159,3.129,3.148,518452
07 Jun 2012 - 10:20:00,3.135,3.149,3.133,3.142,263873
07 Jun 2012 - 10:30:00,3.151,3.152,3.125,3.139,285707
07 Jun 2012 - 10:40:00,3.13,3.158,3.128,3.152,393964
07 Jun 2012 - 10:50:00,3.138,3.144,3.12,3.128,875271
07 Jun 2012 - 11:00:00,3.145,3.147,3.131,3.135,228779
07 Jun 2012 - 11:10:00,3.155,3.158,3.139,3.143,287242
07 Jun 2012 - 11:20:00,3.159,3.163,3.148,3.155,262615
07 Jun 2012 - 11:30:00,3.158,3.16,3.153,3.157,119850
07 Jun 2012 - 11:40:00,3.157,3.167,3.157,3.16,131759
07 Jun 2012 - 11:50:00,3.16,3.165,3.154,3.158,169214
07 Jun 2012 - 12:00:00,3.155,3.166,3.155,3.159,137264
07 Jun 2012 - 12:10:00,3.159,3.162,3.152,3.156,74885
07 Jun 2012 - 12:20:00,3.15,3.157,3.147,3.157,122438
07 Jun 2012 - 12:30:00,3.155,3.156,3.144,3.147,90988
07 Jun 2012 - 12:40:00,3.151,3.16,3.149,3.154,137416
07 Jun 2012 - 12:50:00,3.135,3.152,3.132,3.151,463171
07 Jun 2012 - 13:00:00,3.16,3.16,3.134,3.135,239662
07 Jun 2012 - 13:10:00,3.167,3.179,3.152,3.158,701085
07 Jun 2012 - 13:20:00,3.172,3.174,3.156,3.168,404401
07 Jun 2012 - 13:30:00,3.171,3.176,3.17,3.172,218949
07 Jun 2012 - 13:40:00,3.17,3.17,3.159,3.169,259690
07 Jun 2012 - 13:50:00,3.175,3.177,3.166,3.171,150234
07 Jun 2012 - 14:00:00,3.17,3.18,3.17,3.175,251847
07 Jun 2012 - 14:10:00,3.169,3.173,3.162,3.17,151844
07 Jun 2012 - 14:20:00,3.175,3.179,3.168,3.17,170207
07 Jun 2012 - 14:30:00,3.165,3.177,3.164,3.177,113887
07 Jun 2012 - 14:40:00,3.163,3.17,3.159,3.163,164753
07 Jun 2012 - 14:50:00,3.167,3.173,3.161,3.162,152402
07 Jun 2012 - 15:00:00,3.16,3.169,3.155,3.167,184558
07 Jun 2012 - 15:10:00,3.174,3.178,3.156,3.158,381032
07 Jun 2012 - 15:20:00,3.187,3.19,3.17,3.172,469250
07 Jun 2012 - 15:30:00,3.209,3.21,3.181,3.187,822418
07 Jun 2012 - 15:40:00,3.205,3.208,3.196,3.205,269294
07 Jun 2012 - 15:50:00,3.201,3.207,3.193,3.204,247426
07 Jun 2012 - 16:00:00,3.2,3.202,3.192,3.201,251192
07 Jun 2012 - 16:10:00,3.177,3.207,3.173,3.202,352919
07 Jun 2012 - 16:20:00,3.17,3.183,3.17,3.177,223495
07 Jun 2012 - 16:30:00,3.192,3.194,3.165,3.168,182269
07 Jun 2012 - 16:40:00,3.175,3.193,3.175,3.19,310211
07 Jun 2012 - 16:50:00,3.162,3.177,3.158,3.175,195869
07 Jun 2012 - 17:00:00,3.164,3.164,3.152,3.159,307578
07 Jun 2012 - 17:10:00,3.167,3.171,3.158,3.162,215008
07 Jun 2012 - 17:20:00,3.142,3.163,3.141,3.162,494419
07 Jun 2012 - 17:30:00,3.147,3.156,3.142,3.143,393038
07 Jun 2012 - 17:40:00,3.155,3.155,3.155,3.155,1125168
