Date Hour Close High Low Open Volume
2012-06-13 09:10 52.21 52.28 51.93 52.01 62231
2012-06-13 09:20 52.28 52.32 52.18 52.22 27055
2012-06-13 09:30 52.26 52.3 52.19 52.3 12253
2012-06-13 09:40 52.2 52.28 52.15 52.26 27888
2012-06-13 09:50 52.19 52.23 52.16 52.2 13274
2012-06-13 10:00 52.13 52.19 52.13 52.18 9588
2012-06-13 10:10 52.24 52.24 52.07 52.14 27890
2012-06-13 10:20 52.2 52.23 52.14 52.23 44225
2012-06-13 10:30 52.1 52.2 52.1 52.18 20451
2012-06-13 10:40 52.14 52.16 52.08 52.1 17429
2012-06-13 10:50 52.06 52.16 51.97 52.13 26732
2012-06-13 11:00 52.01 52.08 51.99 52.08 8316
2012-06-13 11:10 52.06 52.07 52.0 52.01 20876
2012-06-13 11:20 52.11 52.13 52.05 52.05 8740
2012-06-13 11:30 52.09 52.14 52.07 52.12 9529
2012-06-13 11:40 51.94 52.08 51.89 52.08 39359
2012-06-13 11:50 51.99 51.99 51.9 51.94 12944
2012-06-13 12:00 51.91 51.99 51.87 51.99 14317
2012-06-13 12:10 52.03 52.03 51.88 51.9 16490
2012-06-13 12:20 52.0 52.08 51.97 52.03 11527
2012-06-13 12:30 52.0 52.03 51.99 52.0 9302
2012-06-13 12:40 51.97 52.02 51.95 52.01 11108
2012-06-13 12:50 51.94 51.98 51.9 51.97 6682
2012-06-13 13:00 51.97 51.98 51.93 51.93 9354
2012-06-13 13:10 51.97 52.01 51.94 51.98 8673
2012-06-13 13:20 51.89 52.0 51.89 52.0 7486
2012-06-13 13:30 51.94 51.95 51.83 51.9 18236
2012-06-13 13:40 52.02 52.04 51.94 51.95 21780
2012-06-13 13:50 52.12 52.15 52.03 52.03 47978
2012-06-13 14:00 52.11 52.12 52.06 52.12 12646
2012-06-13 14:10 52.12 52.14 52.1 52.1 8009
2012-06-13 14:20 52.09 52.14 52.06 52.13 9679
2012-06-13 14:30 52.07 52.14 52.07 52.09 15458
2012-06-13 14:40 52.17 52.18 52.03 52.03 35766
2012-06-13 14:50 52.06 52.19 52.03 52.16 29424
2012-06-13 15:00 52.07 52.09 52.05 52.06 13785
2012-06-13 15:10 52.01 52.06 51.97 52.05 25241
2012-06-13 15:20 51.97 52.01 51.9 51.99 32424
2012-06-13 15:30 51.97 52.01 51.97 52.0 18636
2012-06-13 15:40 51.9 51.96 51.87 51.96 39960
2012-06-13 15:50 51.93 52.0 51.88 51.89 13615
2012-06-13 16:00 51.84 51.92 51.78 51.92 17923
2012-06-13 16:10 51.92 51.93 51.82 51.83 29686
2012-06-13 16:20 51.9 52.0 51.88 51.93 24929
2012-06-13 16:30 51.87 51.95 51.84 51.92 17723
2012-06-13 16:40 51.95 51.95 51.85 51.88 23359
2012-06-13 16:50 51.9 51.96 51.88 51.94 17226
2012-06-13 17:00 51.94 52.0 51.87 51.91 21675
2012-06-13 17:10 51.78 51.94 51.77 51.93 43675
2012-06-13 17:20 51.85 51.88 51.7 51.78 51726
2012-06-13 17:30 51.84 51.91 51.82 51.85 35130
2012-06-13 17:40 51.97 51.97 51.97 51.97 320185
2012-06-14 09:10 52.17 52.19 51.66 51.66 57802
2012-06-14 09:20 52.16 52.16 52.06 52.13 20451
2012-06-14 09:30 52.18 52.28 52.16 52.17 30825
2012-06-14 09:40 52.3 52.33 52.12 52.21 33653
