Date Hour Close High Low Open Volume
2012-06-13 09:00 26.875 26.875 26.875 26.875 15119
2012-06-13 09:10 27.215 27.215 26.855 26.875 98317
2012-06-13 09:20 27.145 27.24 27.145 27.215 41026
2012-06-13 09:30 27.04 27.145 27.015 27.14 108887
2012-06-13 09:40 26.905 27.04 26.9 27.04 130545
2012-06-13 09:50 26.9 26.92 26.88 26.91 39667
2012-06-13 10:00 26.82 26.895 26.82 26.895 37001
2012-06-13 10:10 26.705 26.825 26.705 26.815 43037
2012-06-13 10:20 26.605 26.685 26.535 26.68 42138
2012-06-13 10:30 26.505 26.61 26.505 26.605 28596
2012-06-13 10:40 26.485 26.51 26.47 26.51 12632
2012-06-13 10:50 26.405 26.485 26.375 26.48 16259
2012-06-13 11:00 26.475 26.515 26.4 26.405 28993
2012-06-13 11:10 26.49 26.535 26.475 26.48 28438
2012-06-13 11:20 26.5 26.5 26.475 26.49 21865
2012-06-13 11:30 26.57 26.615 26.505 26.505 52529
2012-06-13 11:40 26.48 26.57 26.455 26.57 28828
2012-06-13 11:50 26.445 26.49 26.435 26.475 12628
2012-06-13 12:00 26.435 26.45 26.41 26.425 16696
2012-06-13 12:10 26.545 26.55 26.43 26.43 20943
2012-06-13 12:20 26.6 26.6 26.54 26.545 12805
2012-06-13 12:30 26.685 26.685 26.605 26.615 14904
2012-06-13 12:40 26.695 26.7 26.665 26.685 13858
2012-06-13 12:50 26.72 26.72 26.665 26.69 13589
2012-06-13 13:00 26.665 26.735 26.66 26.705 7990
2012-06-13 13:10 26.675 26.705 26.655 26.665 10518
2012-06-13 13:20 26.625 26.67 26.6 26.67 9712
2012-06-13 13:30 26.585 26.615 26.54 26.615 18443
2012-06-13 13:40 26.56 26.585 26.53 26.575 17105
2012-06-13 13:50 26.58 26.6 26.535 26.565 21665
2012-06-13 14:00 26.605 26.615 26.57 26.58 12483
2012-06-13 14:10 26.55 26.61 26.545 26.6 14542
2012-06-13 14:20 26.53 26.56 26.515 26.545 12196
2012-06-13 14:30 26.415 26.535 26.415 26.53 19798
2012-06-13 14:40 26.58 26.585 26.425 26.45 50053
2012-06-13 14:50 26.46 26.575 26.44 26.575 28373
2012-06-13 15:00 26.46 26.485 26.45 26.455 17575
2012-06-13 15:10 26.485 26.5 26.45 26.46 38325
2012-06-13 15:20 26.48 26.5 26.445 26.48 30248
2012-06-13 15:30 26.5 26.515 26.455 26.485 22683
2012-06-13 15:40 26.475 26.51 26.46 26.5 31799
2012-06-13 15:50 26.53 26.545 26.46 26.475 25563
2012-06-13 16:00 26.515 26.525 26.465 26.525 21956
2012-06-13 16:10 26.67 26.675 26.52 26.52 66872
2012-06-13 16:20 26.66 26.705 26.62 26.67 28509
2012-06-13 16:30 26.64 26.685 26.615 26.665 23384
2012-06-13 16:40 26.745 26.745 26.64 26.645 32075
2012-06-13 16:50 26.675 26.725 26.655 26.72 24231
2012-06-13 17:00 26.665 26.7 26.655 26.685 18103
2012-06-13 17:10 26.52 26.67 26.52 26.67 32910
2012-06-13 17:20 26.555 26.565 26.48 26.525 67322
2012-06-13 17:30 26.61 26.64 26.555 26.555 36510
2012-06-13 17:40 26.59 26.59 26.59 26.59 403537
2012-06-14 09:10 26.51 26.66 26.48 26.575 26250
2012-06-14 09:20 26.51 26.53 26.325 26.5 22677
2012-06-14 09:30 26.4 26.51 26.4 26.505 13328
2012-06-14 09:40 26.41 26.41 26.335 26.385 30341
2012-06-14 09:50 26.455 26.455 26.365 26.4 15321
2012-06-14 10:00 26.435 26.47 26.415 26.445 13897
2012-06-14 10:10 26.35 26.425 26.29 26.425 71465
2012-06-14 10:20 26.33 26.365 26.285 26.34 15853
2012-06-14 10:30 26.19 26.33 26.18 26.33 33028
2012-06-14 10:40 26.115 26.18 26.11 26.18 23788
2012-06-14 10:50 26.045 26.14 26.045 26.12 27241
2012-06-14 11:00 25.995 26.055 25.98 26.05 25348
2012-06-14 11:10 25.985 26.005 25.965 25.99 16733
2012-06-14 11:20 25.91 26.025 25.91 25.985 41447
