Date Hour Close High Low Open Volume
2012-06-13 09:10 72.87 73.0 72.77 72.98 24137
2012-06-13 09:20 72.83 73.0 72.82 72.88 10685
2012-06-13 09:30 72.83 72.84 72.77 72.81 9365
2012-06-13 09:40 72.97 72.99 72.87 72.87 6608
2012-06-13 09:50 72.97 73.0 72.94 72.97 10076
2012-06-13 10:00 72.98 73.0 72.93 72.99 13175
2012-06-13 10:10 73.0 73.12 72.96 73.01 14356
2012-06-13 10:20 72.8 73.01 72.67 72.98 25406
2012-06-13 10:30 72.61 72.8 72.57 72.79 13824
2012-06-13 10:40 72.66 72.69 72.58 72.61 5661
2012-06-13 10:50 72.47 72.72 72.34 72.68 11879
2012-06-13 11:00 72.52 72.55 72.43 72.49 5427
2012-06-13 11:10 72.57 72.6 72.5 72.53 14961
2012-06-13 11:20 72.75 72.75 72.57 72.57 7537
2012-06-13 11:30 72.82 72.84 72.64 72.77 9231
2012-06-13 11:40 72.49 72.82 72.44 72.82 15214
2012-06-13 11:50 72.6 72.67 72.46 72.48 6283
2012-06-13 12:00 72.54 72.68 72.51 72.6 9906
2012-06-13 12:10 72.6 72.66 72.53 72.55 9517
2012-06-13 12:20 72.59 72.7 72.47 72.6 12541
2012-06-13 12:30 72.53 72.6 72.44 72.59 13739
2012-06-13 12:40 72.58 72.58 72.54 72.54 7829
2012-06-13 12:50 72.55 72.62 72.53 72.6 10619
2012-06-13 13:00 72.53 72.65 72.48 72.55 9913
2012-06-13 13:10 72.42 72.6 72.41 72.56 11709
2012-06-13 13:20 72.47 72.5 72.44 72.45 7196
2012-06-13 13:30 72.53 72.57 72.41 72.44 6563
2012-06-13 13:40 72.58 72.63 72.53 72.53 7393
2012-06-13 13:50 72.7 72.71 72.55 72.57 18163
2012-06-13 14:00 72.71 72.73 72.59 72.71 14743
2012-06-13 14:10 72.8 72.8 72.72 72.72 14470
2012-06-13 14:20 72.81 72.85 72.76 72.8 6036
2012-06-13 14:30 72.63 72.9 72.63 72.83 8399
2012-06-13 14:40 72.82 72.9 72.71 72.77 11482
2012-06-13 14:50 72.74 72.87 72.72 72.81 6584
