Date Hour Close High Low Open Volume
2012-06-13 09:10 9.823 9.89 9.81 9.85 371356
2012-06-13 09:20 9.816 9.823 9.799 9.823 97276
2012-06-13 09:30 9.855 9.857 9.811 9.813 106996
2012-06-13 09:40 9.849 9.869 9.833 9.851 173077
2012-06-13 09:50 9.843 9.856 9.823 9.852 179437
2012-06-13 10:00 9.835 9.845 9.83 9.843 133017
2012-06-13 10:10 9.835 9.841 9.82 9.836 176772
2012-06-13 10:20 9.834 9.848 9.816 9.835 241944
2012-06-13 10:30 9.817 9.841 9.814 9.832 160885
2012-06-13 10:40 9.812 9.826 9.81 9.82 117078
2012-06-13 10:50 9.805 9.816 9.786 9.812 152895
2012-06-13 11:00 9.796 9.805 9.79 9.805 103621
2012-06-13 11:10 9.814 9.814 9.791 9.794 261585
2012-06-13 11:20 9.843 9.851 9.809 9.813 161166
2012-06-13 11:30 9.85 9.853 9.835 9.845 174127
2012-06-13 11:40 9.816 9.849 9.803 9.849 154124
2012-06-13 11:50 9.816 9.822 9.804 9.81 149292
2012-06-13 12:00 9.809 9.817 9.805 9.812 79660
2012-06-13 12:10 9.805 9.826 9.804 9.806 123079
2012-06-13 12:20 9.807 9.814 9.801 9.807 191276
2012-06-13 12:30 9.797 9.819 9.794 9.809 59987
2012-06-13 12:40 9.799 9.807 9.793 9.799 74943
2012-06-13 12:50 9.791 9.798 9.778 9.797 78800
2012-06-13 13:00 9.783 9.791 9.778 9.788 82936
2012-06-13 13:10 9.774 9.791 9.771 9.783 111657
2012-06-13 13:20 9.772 9.786 9.767 9.772 85682
2012-06-13 13:30 9.747 9.772 9.741 9.771 135206
2012-06-13 13:40 9.754 9.762 9.745 9.746 104599
2012-06-13 13:50 9.77 9.77 9.75 9.753 133271
2012-06-13 14:00 9.757 9.772 9.755 9.77 33916
2012-06-13 14:10 9.762 9.776 9.754 9.759 59169
2012-06-13 14:20 9.756 9.77 9.743 9.763 62575
2012-06-13 14:30 9.731 9.763 9.731 9.755 81788
2012-06-13 14:40 9.754 9.762 9.726 9.746 158540
2012-06-13 14:50 9.715 9.753 9.705 9.753 199742
2012-06-13 15:00 9.715 9.726 9.705 9.715 84411
2012-06-13 15:10 9.704 9.712 9.692 9.712 107087
2012-06-13 15:20 9.708 9.709 9.687 9.703 150384
2012-06-13 15:30 9.718 9.73 9.706 9.706 70125
2012-06-13 15:40 9.715 9.732 9.698 9.717 159512
2012-06-13 15:50 9.708 9.717 9.699 9.712 99738
2012-06-13 16:00 9.716 9.716 9.686 9.709 122171
2012-06-13 16:10 9.737 9.743 9.714 9.715 125747
2012-06-13 16:20 9.75 9.764 9.74 9.74 87022
2012-06-13 16:30 9.735 9.758 9.729 9.753 104174
2012-06-13 16:40 9.785 9.785 9.736 9.736 91396
2012-06-13 16:50 9.738 9.79 9.735 9.786 168635
2012-06-13 17:00 9.725 9.745 9.725 9.738 166851
2012-06-13 17:10 9.667 9.726 9.666 9.725 351886
2012-06-13 17:20 9.671 9.686 9.652 9.668 423433
2012-06-13 17:30 9.695 9.7 9.67 9.67 454020
2012-06-13 17:40 9.687 9.687 9.687 9.687 3155019
2012-06-14 09:10 9.687 9.705 9.658 9.658 236561
2012-06-14 09:20 9.68 9.713 9.676 9.686 101390
2012-06-14 09:30 9.73 9.746 9.69 9.693 145596
2012-06-14 09:40 9.769 9.785 9.716 9.731 282430
2012-06-14 09:50 9.724 9.781 9.715 9.768 111512
2012-06-14 10:00 9.711 9.73 9.71 9.723 101321
2012-06-14 10:10 9.683 9.714 9.67 9.711 196501
2012-06-14 10:20 9.657 9.689 9.648 9.679 163978
2012-06-14 10:30 9.645 9.656 9.631 9.656 94717
2012-06-14 10:40 9.635 9.651 9.628 9.643 98722
2012-06-14 10:50 9.621 9.663 9.616 9.636 104420
2012-06-14 11:00 9.628 9.638 9.603 9.624 78588
2012-06-14 11:10 9.616 9.634 9.606 9.623 106612
2012-06-14 11:20 9.629 9.653 9.613 9.617 216159
2012-06-14 11:30 9.657 9.667 9.628 9.632 110435
2012-06-14 11:40 9.654 9.673 9.645 9.657 111170
2012-06-14 11:50 9.641 9.655 9.636 9.649 95847
2012-06-14 12:00 9.664 9.671 9.634 9.64 107948
2012-06-14 12:10 9.671 9.68 9.659 9.664 175702
2012-06-14 12:20 9.666 9.678 9.655 9.668 153189
2012-06-14 12:30 9.715 9.715 9.661 9.663 93503
2012-06-14 12:40 9.734 9.751 9.708 9.716 133911
2012-06-14 12:50 9.743 9.75 9.729 9.729 107649
2012-06-14 13:00 9.715 9.741 9.714 9.741 94901
2012-06-14 13:10 9.706 9.723 9.706 9.713 101836
2012-06-14 13:20 9.693 9.708 9.693 9.705 105181
2012-06-14 13:30 9.689 9.701 9.687 9.696 53784
2012-06-14 13:40 9.671 9.694 9.664 9.688 82397
2012-06-14 13:50 9.662 9.672 9.66 9.672 116825
2012-06-14 14:00 9.659 9.667 9.649 9.662 97854
2012-06-14 14:10 9.665 9.672 9.654 9.662 63677
2012-06-14 14:20 9.679 9.681 9.66 9.665 46225
2012-06-14 14:30 9.678 9.693 9.66 9.682 60641
2012-06-14 14:40 9.659 9.677 9.648 9.668 162086
2012-06-14 14:50 9.671 9.679 9.66 9.66 164866
2012-06-14 15:00 9.687 9.707 9.673 9.673 185304
2012-06-14 15:10 9.703 9.705 9.682 9.684 77968
2012-06-14 15:20 9.709 9.718 9.694 9.703 122059
2012-06-14 15:30 9.68 9.704 9.675 9.704 93732
2012-06-14 15:40 9.664 9.685 9.657 9.68 197700
2012-06-14 15:50 9.658 9.675 9.65 9.65 99988
2012-06-14 16:00 9.681 9.681 9.643 9.657 57248
