Date Hour Close High Low Open Volume
2012-06-13 09:10 16.715 16.8 16.61 16.63 417828
2012-06-13 09:20 16.675 16.705 16.65 16.695 163370
2012-06-13 09:30 16.765 16.78 16.675 16.675 143133
2012-06-13 09:40 16.82 16.84 16.75 16.775 161007
2012-06-13 09:50 16.815 16.83 16.78 16.83 121115
2012-06-13 10:00 16.815 16.845 16.8 16.815 89407
2012-06-13 10:10 16.78 16.815 16.735 16.815 92354
2012-06-13 10:20 16.815 16.845 16.79 16.805 184156
2012-06-13 10:30 16.78 16.83 16.78 16.825 100139
2012-06-13 10:40 16.73 16.77 16.73 16.765 35777
2012-06-13 10:50 16.7 16.735 16.68 16.725 72518
2012-06-13 11:00 16.705 16.72 16.695 16.715 20758
2012-06-13 11:10 16.715 16.735 16.695 16.7 30240
2012-06-13 11:20 16.78 16.78 16.705 16.72 51979
2012-06-13 11:30 16.79 16.805 16.775 16.78 58821
2012-06-13 11:40 16.715 16.795 16.685 16.795 57934
2012-06-13 11:50 16.71 16.72 16.685 16.715 27612
2012-06-13 12:00 16.71 16.715 16.67 16.7 32176
2012-06-13 12:10 16.73 16.75 16.68 16.7 55697
2012-06-13 12:20 16.71 16.755 16.695 16.73 32605
2012-06-13 12:30 16.68 16.725 16.68 16.71 29720
2012-06-13 12:40 16.66 16.705 16.645 16.69 26348
2012-06-13 12:50 16.67 16.67 16.64 16.655 26107
2012-06-13 13:00 16.675 16.69 16.65 16.69 58386
2012-06-13 13:10 16.68 16.685 16.665 16.685 16228
2012-06-13 13:20 16.655 16.68 16.65 16.67 14603
2012-06-13 13:30 16.635 16.67 16.61 16.67 20797
2012-06-13 13:40 16.67 16.675 16.63 16.63 71938
2012-06-13 13:50 16.715 16.735 16.665 16.67 71736
2012-06-13 14:00 16.72 16.735 16.715 16.72 37489
2012-06-13 14:10 16.73 16.76 16.72 16.72 51094
2012-06-13 14:20 16.7 16.735 16.69 16.73 26802
2012-06-13 14:30 16.685 16.72 16.68 16.71 27049
2012-06-13 14:40 16.705 16.715 16.66 16.675 103049
2012-06-13 14:50 16.645 16.715 16.625 16.705 193767
2012-06-13 15:00 16.655 16.67 16.635 16.64 29391
2012-06-13 15:10 16.635 16.655 16.625 16.655 32672
2012-06-13 15:20 16.63 16.635 16.59 16.635 93439
2012-06-13 15:30 16.665 16.67 16.62 16.62 40220
2012-06-13 15:40 16.66 16.7 16.635 16.66 71782
2012-06-13 15:50 16.675 16.69 16.635 16.655 35818
2012-06-13 16:00 16.615 16.665 16.595 16.66 88064
2012-06-13 16:10 16.645 16.66 16.625 16.625 159035
2012-06-13 16:20 16.675 16.695 16.65 16.655 39561
2012-06-13 16:30 16.67 16.705 16.645 16.685 53150
2012-06-13 16:40 16.76 16.765 16.66 16.675 43320
2012-06-13 16:50 16.685 16.775 16.68 16.765 63979
2012-06-13 17:00 16.69 16.705 16.67 16.685 83178
2012-06-13 17:10 16.575 16.68 16.575 16.68 103569
2012-06-13 17:20 16.575 16.615 16.545 16.58 142568
2012-06-13 17:30 16.61 16.615 16.575 16.58 130256
2012-06-13 17:40 16.62 16.62 16.62 16.62 1051525
2012-06-14 09:10 16.625 16.705 16.605 16.62 155743
2012-06-14 09:20 16.68 16.7 16.6 16.61 86099
2012-06-14 09:30 16.685 16.73 16.665 16.675 52438
2012-06-14 09:40 16.795 16.81 16.665 16.69 57715
2012-06-14 09:50 16.71 16.79 16.69 16.78 20818
2012-06-14 10:00 16.665 16.71 16.66 16.695 86848
2012-06-14 10:10 16.6 16.675 16.585 16.665 63815
2012-06-14 10:20 16.585 16.62 16.56 16.6 47462
2012-06-14 10:30 16.545 16.585 16.52 16.585 51645
2012-06-14 10:40 16.545 16.585 16.53 16.535 53555
2012-06-14 10:50 16.545 16.625 16.53 16.545 54340
2012-06-14 11:00 16.56 16.58 16.49 16.55 75493
2012-06-14 11:10 16.53 16.56 16.49 16.555 99010
2012-06-14 11:20 16.545 16.575 16.52 16.525 66908
2012-06-14 11:30 16.58 16.595 16.53 16.54 47848
2012-06-14 11:40 16.58 16.62 16.56 16.575 48137
2012-06-14 11:50 16.545 16.56 16.525 16.56 74437
2012-06-14 12:00 16.595 16.595 16.525 16.54 66552
2012-06-14 12:10 16.6 16.62 16.59 16.59 53523
2012-06-14 12:20 16.62 16.64 16.585 16.59 49975
2012-06-14 12:30 16.705 16.71 16.605 16.615 67319
2012-06-14 12:40 16.735 16.785 16.695 16.705 88187
2012-06-14 12:50 16.76 16.77 16.735 16.735 48313
2012-06-14 13:00 16.73 16.76 16.72 16.76 33875
2012-06-14 13:10 16.71 16.74 16.705 16.725 54392
2012-06-14 13:20 16.685 16.715 16.685 16.7 68527
2012-06-14 13:30 16.63 16.685 16.625 16.685 81949
2012-06-14 13:40 16.62 16.655 16.6 16.625 39625
2012-06-14 13:50 16.605 16.62 16.6 16.615 34690
2012-06-14 14:00 16.585 16.6 16.565 16.6 30462
2012-06-14 14:10 16.59 16.595 16.565 16.585 45402
2012-06-14 14:20 16.59 16.595 16.56 16.585 31056
2012-06-14 14:30 16.56 16.615 16.555 16.595 32200
2012-06-14 14:40 16.56 16.585 16.525 16.56 67594
2012-06-14 14:50 16.58 16.61 16.555 16.56 46250
2012-06-14 15:00 16.65 16.665 16.61 16.61 69921
2012-06-14 15:10 16.665 16.675 16.64 16.645 43230
2012-06-14 15:20 16.745 16.755 16.66 16.67 186597
2012-06-14 15:30 16.72 16.75 16.72 16.75 111936
2012-06-14 15:40 16.725 16.75 16.705 16.72 124415
2012-06-14 15:50 16.715 16.78 16.69 16.71 69954
2012-06-14 16:00 16.72 16.735 16.665 16.72 66708
2012-06-14 16:10 16.76 16.77 16.725 16.725 63907
2012-06-14 16:20 16.71 16.77 16.7 16.76 35468
2012-06-14 16:30 16.74 16.76 16.685 16.71 72465
2012-06-14 16:40 16.72 16.755 16.7 16.74 84026
2012-06-14 16:50 16.735 16.76 16.725 16.725 53589
2012-06-14 17:00 16.74 16.76 16.72 16.735 72133
2012-06-14 17:10 16.725 16.745 16.7 16.745 80021
2012-06-14 17:20 16.78 16.79 16.715 16.725 154199
2012-06-14 17:30 16.795 16.805 16.775 16.78 115148
2012-06-14 17:40 16.77 16.77 16.77 16.77 710716
2012-06-15 09:10 16.97 16.99 16.85 16.855 405958
2012-06-15 09:20 17.095 17.105 16.98 16.99 375569
2012-06-15 09:30 17.12 17.15 17.085 17.105 425104
2012-06-15 09:40 17.115 17.15 17.09 17.13 195936
