Date Hour Close High Low Open Volume
2012-06-13 09:10 93.06 93.11 92.49 92.5 32961
2012-06-13 09:20 93.07 93.17 92.86 92.99 9884
2012-06-13 09:30 93.11 93.11 92.93 93.08 4246
2012-06-13 09:40 93.03 93.18 93.03 93.11 19041
2012-06-13 09:50 93.08 93.1 92.86 92.98 7266
2012-06-13 10:00 92.72 93.17 92.72 93.08 17108
2012-06-13 10:10 92.75 92.77 92.6 92.72 30165
2012-06-13 10:20 92.84 92.99 92.53 92.74 21646
2012-06-13 10:30 92.63 92.89 92.62 92.86 8879
2012-06-13 10:40 92.74 92.8 92.61 92.63 4615
2012-06-13 10:50 92.69 92.85 92.63 92.75 19645
2012-06-13 11:00 92.58 92.71 92.56 92.69 5868
2012-06-13 11:10 92.67 92.75 92.57 92.57 12151
2012-06-13 11:20 92.74 92.8 92.63 92.68 10660
2012-06-13 11:30 92.66 92.79 92.61 92.77 8012
2012-06-13 11:40 92.51 92.7 92.45 92.65 8947
2012-06-13 11:50 92.63 92.7 92.45 92.45 9554
2012-06-13 12:00 92.56 92.64 92.54 92.63 3414
2012-06-13 12:10 92.66 92.69 92.44 92.56 9505
2012-06-13 12:20 92.9 92.92 92.66 92.69 14249
2012-06-13 12:30 92.62 92.89 92.61 92.89 8038
2012-06-13 12:40 92.66 92.67 92.59 92.59 4249
2012-06-13 12:50 92.67 92.69 92.58 92.68 3160
2012-06-13 13:00 92.64 92.71 92.62 92.69 3957
2012-06-13 13:10 92.64 92.69 92.6 92.61 4151
2012-06-13 13:20 92.55 92.65 92.51 92.65 3456
2012-06-13 13:30 92.57 92.67 92.48 92.58 4968
2012-06-13 13:40 92.68 92.73 92.54 92.54 13029
2012-06-13 13:50 92.9 92.9 92.66 92.68 14172
2012-06-13 14:00 92.84 93.01 92.84 92.9 14423
2012-06-13 14:10 92.78 92.9 92.76 92.87 6737
2012-06-13 14:20 92.84 92.84 92.7 92.79 9585
2012-06-13 14:30 92.61 92.83 92.61 92.81 5801
2012-06-13 14:40 92.85 92.87 92.52 92.52 5256
2012-06-13 14:50 92.76 92.9 92.72 92.88 8180
2012-06-13 15:00 92.76 92.89 92.72 92.76 9069
2012-06-13 15:10 92.78 92.79 92.71 92.77 8405
2012-06-13 15:20 92.74 92.78 92.63 92.78 13643
2012-06-13 15:30 92.56 92.75 92.51 92.74 8558
2012-06-13 15:40 92.42 92.58 92.4 92.56 8340
2012-06-13 15:50 92.53 92.56 92.4 92.4 3808
