Date Hour Close High Low Open Volume
2012-06-13 09:00 43.85 43.85 43.85 43.85 21865
2012-06-13 09:10 44.19 44.235 43.85 43.85 48220
2012-06-13 09:20 44.25 44.365 44.14 44.215 33212
2012-06-13 09:30 43.87 44.26 43.87 44.24 65841
2012-06-13 09:40 43.53 43.88 43.465 43.875 52226
2012-06-13 09:50 43.36 43.55 43.315 43.535 95574
2012-06-13 10:00 42.645 43.38 42.645 43.355 202169
2012-06-13 10:10 42.33 42.68 42.315 42.645 276804
2012-06-13 10:20 41.95 42.34 41.745 42.34 291104
2012-06-13 10:30 42.07 42.25 41.95 41.95 151291
2012-06-13 10:40 42.11 42.18 42.065 42.095 59046
2012-06-13 10:50 42.12 42.145 41.98 42.115 124775
2012-06-13 11:00 42.18 42.275 42.115 42.115 58368
2012-06-13 11:10 42.035 42.215 41.95 42.185 69291
2012-06-13 11:20 42.005 42.09 41.94 42.09 82402
2012-06-13 11:30 42.11 42.15 42.01 42.035 35795
2012-06-13 11:40 41.92 42.105 41.84 42.1 64305
2012-06-13 11:50 41.945 41.975 41.87 41.915 40095
2012-06-13 12:00 41.93 41.94 41.82 41.94 59738
2012-06-13 12:10 42.06 42.13 41.85 41.925 102005
2012-06-13 12:20 42.005 42.1 41.9 42.06 59013
2012-06-13 12:30 41.99 42.03 41.93 41.995 54782
2012-06-13 12:40 41.99 42.03 41.915 41.99 30317
2012-06-13 12:50 41.99 42.01 41.945 41.995 22539
2012-06-13 13:00 41.925 42.0 41.875 41.99 29498
2012-06-13 13:10 41.85 41.985 41.85 41.925 23524
2012-06-13 13:20 41.76 41.875 41.75 41.865 38653
2012-06-13 13:30 41.6 41.765 41.5 41.76 97458
2012-06-13 13:40 41.66 41.7 41.585 41.595 53231
2012-06-13 13:50 41.685 41.73 41.67 41.67 85537
2012-06-13 14:00 41.705 41.72 41.66 41.675 22057
2012-06-13 14:10 41.685 41.73 41.63 41.725 61945
2012-06-13 14:20 41.605 41.7 41.565 41.695 28146
2012-06-13 14:30 41.32 41.61 41.32 41.6 79505
2012-06-13 14:40 41.575 41.6 41.27 41.3 49895
2012-06-13 14:50 41.4 41.58 41.34 41.575 41338
2012-06-13 15:00 41.45 41.455 41.38 41.39 18210
2012-06-13 15:10 41.53 41.555 41.42 41.45 69934
2012-06-13 15:20 41.455 41.52 41.42 41.52 53192
2012-06-13 15:30 41.56 41.575 41.44 41.475 67648
2012-06-13 15:40 41.59 41.64 41.49 41.565 52224
2012-06-13 15:50 41.73 41.73 41.53 41.58 37618
2012-06-13 16:00 41.725 41.755 41.58 41.71 56530
2012-06-13 16:10 41.925 41.93 41.725 41.725 72514
2012-06-13 16:20 41.92 41.975 41.865 41.93 28792
2012-06-13 16:30 41.775 41.96 41.73 41.93 74609
2012-06-13 16:40 42.065 42.065 41.775 41.78 80527
2012-06-13 16:50 41.995 42.075 41.965 42.065 45429
2012-06-13 17:00 41.96 42.04 41.94 42.0 37157
2012-06-13 17:10 41.54 41.955 41.53 41.955 88904
2012-06-13 17:20 41.51 41.615 41.435 41.57 143462
2012-06-13 17:30 41.555 41.67 41.44 41.51 97386
2012-06-13 17:40 41.67 41.67 41.67 41.67 676627
2012-06-14 09:00 41.6 41.6 41.6 41.6 13042
2012-06-14 09:10 41.395 41.745 41.395 41.6 48568
2012-06-14 09:20 41.27 41.37 41.08 41.34 104247
2012-06-14 09:30 41.15 41.37 41.15 41.315 94252
2012-06-14 09:40 41.22 41.26 41.085 41.17 103430
2012-06-14 09:50 41.275 41.32 41.175 41.235 47474
2012-06-14 10:00 41.085 41.3 41.05 41.255 57629
2012-06-14 10:10 40.925 41.15 40.89 41.09 104574
2012-06-14 10:20 40.935 41.02 40.83 40.925 48282
2012-06-14 10:30 40.65 40.92 40.62 40.905 57567
2012-06-14 10:40 40.73 40.78 40.605 40.635 62555
2012-06-14 10:50 40.685 40.92 40.665 40.74 40236
2012-06-14 11:00 40.6 40.7 40.495 40.685 80070
2012-06-14 11:10 40.385 40.6 40.37 40.6 87719
2012-06-14 11:20 40.29 40.43 40.29 40.405 165071
2012-06-14 11:30 40.395 40.42 40.265 40.285 121179
2012-06-14 11:40 40.315 40.45 40.3 40.38 63505
2012-06-14 11:50 40.4 40.45 40.26 40.32 62982
2012-06-14 12:00 40.26 40.39 40.175 40.39 101714
2012-06-14 12:10 40.285 40.355 40.205 40.285 52835
2012-06-14 12:20 40.455 40.5 40.275 40.29 60811
2012-06-14 12:30 40.625 40.625 40.44 40.455 97375
