Date Hour Close High Low Open Volume
2012-06-15 09:00 17.1 17.1 17.1 17.1 70781
2012-06-15 09:10 17.22 17.26 17.055 17.1 248211
2012-06-15 09:20 17.235 17.275 17.19 17.22 284683
2012-06-15 09:30 17.34 17.37 17.26 17.26 315483
2012-06-15 09:40 17.37 17.4 17.3 17.34 251335
2012-06-15 09:50 17.385 17.385 17.32 17.36 194580
2012-06-15 10:00 17.39 17.41 17.335 17.38 366335
2012-06-15 10:10 17.435 17.445 17.365 17.39 455264
2012-06-15 10:20 17.49 17.5 17.41 17.44 218168
2012-06-15 10:30 17.51 17.555 17.475 17.49 277995
2012-06-15 10:40 17.605 17.63 17.475 17.5 333177
2012-06-15 10:50 17.555 17.635 17.55 17.6 259493
2012-06-15 11:00 17.47 17.57 17.47 17.55 148590
2012-06-15 11:10 17.57 17.57 17.46 17.47 146851
2012-06-15 11:20 17.49 17.595 17.46 17.56 156553
2012-06-15 11:30 17.57 17.575 17.46 17.495 173145
2012-06-15 11:40 17.57 17.595 17.535 17.565 96010
2012-06-15 11:50 17.6 17.62 17.545 17.565 282716
2012-06-15 12:00 17.545 17.635 17.525 17.6 1486999
2012-06-15 12:10 17.47 17.55 17.425 17.545 193617
2012-06-15 12:20 17.45 17.505 17.43 17.48 148361
2012-06-15 12:30 17.475 17.53 17.455 17.455 116684
2012-06-15 12:40 17.5 17.53 17.48 17.485 43896
2012-06-15 12:50 17.535 17.555 17.5 17.5 62208
2012-06-15 13:00 17.595 17.61 17.515 17.53 80901
2012-06-15 13:10 17.56 17.61 17.555 17.595 372437
2012-06-15 13:20 17.6 17.625 17.545 17.555 131958
2012-06-15 13:30 17.595 17.61 17.545 17.59 61734
2012-06-15 13:40 17.605 17.62 17.58 17.6 81940
2012-06-15 13:50 17.545 17.625 17.52 17.6 72330
2012-06-15 14:00 17.5 17.54 17.46 17.54 181575
2012-06-15 14:10 17.525 17.56 17.49 17.49 70257
2012-06-15 14:20 17.465 17.54 17.45 17.52 83651
2012-06-15 14:30 17.485 17.535 17.445 17.465 129576
2012-06-15 14:40 17.555 17.57 17.45 17.465 73497
2012-06-15 14:50 17.515 17.575 17.47 17.555 169064
2012-06-15 15:00 17.49 17.555 17.475 17.51 79136
2012-06-15 15:10 17.505 17.52 17.415 17.5 167025
2012-06-15 15:20 17.49 17.53 17.47 17.505 43226
2012-06-15 15:30 17.54 17.54 17.495 17.5 53609
2012-06-15 15:40 17.485 17.57 17.47 17.54 127382
2012-06-15 15:50 17.6 17.605 17.485 17.5 143214
2012-06-15 16:00 17.68 17.69 17.575 17.595 378592
2012-06-15 16:10 17.63 17.715 17.6 17.675 203772
2012-06-15 16:20 17.6 17.675 17.585 17.62 129609
2012-06-15 16:30 17.705 17.705 17.6 17.605 308016
2012-06-15 16:40 17.7 17.73 17.67 17.695 147540
2012-06-15 16:50 17.705 17.72 17.65 17.71 141822
2012-06-15 17:00 17.695 17.725 17.67 17.705 177280
2012-06-15 17:10 17.665 17.71 17.64 17.69 220569
2012-06-15 17:20 17.675 17.705 17.66 17.665 156955
2012-06-15 17:30 17.715 17.73 17.68 17.68 303644
2012-06-15 17:40 17.78 17.78 17.78 17.78 2122455
2012-06-18 09:10 18.325 18.65 18.315 18.45 1207068
2012-06-18 09:20 18.25 18.33 18.13 18.32 602070
2012-06-18 09:30 17.97 18.28 17.895 18.26 649841
2012-06-18 09:40 18.12 18.13 17.95 17.975 359890
2012-06-18 09:50 17.85 18.18 17.85 18.135 328546
2012-06-18 10:00 17.91 17.98 17.815 17.86 227447
2012-06-18 10:10 17.64 17.91 17.64 17.91 507828
2012-06-18 10:20 17.55 17.64 17.515 17.64 551343
2012-06-18 10:30 17.385 17.545 17.355 17.54 412126
2012-06-18 10:40 17.26 17.4 17.15 17.385 378241
2012-06-18 10:50 17.39 17.41 17.26 17.26 207048
2012-06-18 11:00 17.485 17.485 17.335 17.395 232554
2012-06-18 11:10 17.38 17.495 17.355 17.485 237798
2012-06-18 11:20 17.5 17.52 17.375 17.385 173443
2012-06-18 11:30 17.445 17.495 17.4 17.485 152919
2012-06-18 11:40 17.5 17.535 17.43 17.44 77613
2012-06-18 11:50 17.5 17.535 17.44 17.485 115049
2012-06-18 12:00 17.57 17.595 17.465 17.5 154658
2012-06-18 12:10 17.6 17.605 17.505 17.57 122334
2012-06-18 12:20 17.525 17.615 17.505 17.585 78445
2012-06-18 12:30 17.57 17.59 17.5 17.525 51783
2012-06-18 12:40 17.475 17.595 17.45 17.58 93998
2012-06-18 12:50 17.455 17.485 17.37 17.475 100486
2012-06-18 13:00 17.375 17.465 17.36 17.445 63903
2012-06-18 13:10 17.32 17.405 17.255 17.375 210727
2012-06-18 13:20 17.31 17.33 17.25 17.315 86704
2012-06-18 13:30 17.305 17.335 17.275 17.315 62954
2012-06-18 13:40 17.325 17.355 17.28 17.305 43171
2012-06-18 13:50 17.21 17.34 17.185 17.325 119380
2012-06-18 14:00 17.175 17.25 17.175 17.205 151609
2012-06-18 14:10 17.185 17.245 17.17 17.175 68711
2012-06-18 14:20 17.195 17.235 17.16 17.185 159356
2012-06-18 14:30 17.155 17.21 17.12 17.195 157966
2012-06-18 14:40 17.075 17.185 17.05 17.155 146656
2012-06-18 14:50 17.015 17.105 17.0 17.065 178072
2012-06-18 15:00 17.1 17.12 17.005 17.02 151487
2012-06-18 15:10 17.125 17.16 17.065 17.105 77775
2012-06-18 15:20 17.095 17.155 17.065 17.14 43296
2012-06-18 15:30 17.125 17.13 17.055 17.085 79844
2012-06-18 15:40 17.21 17.21 17.08 17.125 205268
2012-06-18 15:50 17.165 17.225 17.15 17.21 46346
2012-06-18 16:00 17.16 17.165 17.085 17.14 113441
2012-06-18 16:10 17.12 17.2 17.12 17.165 121674
2012-06-18 16:20 17.19 17.2 17.095 17.12 201185
2012-06-18 16:30 17.2 17.21 17.14 17.2 193933
2012-06-18 16:40 17.22 17.23 17.18 17.205 142984
2012-06-18 16:50 17.265 17.265 17.185 17.215 135827
2012-06-18 17:00 17.1 17.285 17.1 17.265 305683
2012-06-18 17:10 17.035 17.13 17.02 17.105 228330
2012-06-18 17:20 17.02 17.1 17.005 17.04 174509
2012-06-18 17:30 17.06 17.065 16.96 17.025 268138
2012-06-18 17:40 17.015 17.015 17.015 17.015 958313
2012-06-19 09:10 16.88 17.19 16.88 17.005 388634
2012-06-19 09:20 16.885 17.115 16.835 16.88 324855
2012-06-19 09:30 16.765 16.92 16.765 16.88 230405
2012-06-19 09:40 17.0 17.06 16.76 16.76 183276
2012-06-19 09:50 16.855 17.005 16.855 17.005 137935
2012-06-19 10:00 16.715 16.855 16.65 16.855 335573
2012-06-19 10:10 16.53 16.74 16.52 16.705 293657
2012-06-19 10:20 16.595 16.65 16.5 16.535 386053
2012-06-19 10:30 16.595 16.625 16.53 16.6 163925
2012-06-19 10:40 16.6 16.665 16.555 16.595 123734
2012-06-19 10:50 16.61 16.635 16.545 16.59 193827
2012-06-19 11:00 16.635 16.695 16.6 16.61 202673
2012-06-19 11:10 16.82 16.89 16.6 16.63 264815
2012-06-19 11:20 16.86 16.92 16.775 16.805 199659
2012-06-19 11:30 16.995 17.025 16.86 16.86 185787
2012-06-19 11:40 16.865 17.01 16.85 16.995 107164
2012-06-19 11:50 16.855 16.93 16.795 16.88 72787
2012-06-19 12:00 16.815 16.865 16.785 16.85 39127
2012-06-19 12:10 16.885 16.92 16.83 16.83 65486
2012-06-19 12:20 16.865 16.92 16.855 16.885 55407
2012-06-19 12:30 16.88 16.89 16.835 16.865 69961
2012-06-19 12:40 16.87 16.88 16.805 16.875 61941
2012-06-19 12:50 16.885 16.9 16.835 16.86 31651
2012-06-19 13:00 16.935 16.95 16.87 16.88 58217
