Date,Open,High,Low,Close,Volume,Adjusted Close
2013-05-30,3964.5,4018.97,3963.69,3996.31,84607200.0,3996.31
2013-05-29,4024.76,4028.77,3970.46,3974.12,91563600.0,3974.12
2013-05-28,4005.83,4072.24,4004.27,4050.56,99488800.0,4050.56
2013-05-27,3979.15,3998.05,3976.41,3995.16,39186400.0,3995.16
2013-05-24,3982.26,3997.13,3942.06,3956.79,60558800.0,3956.79
2013-05-23,3955.98,3983.72,3940.29,3967.15,127183600.0,3967.15
2013-05-22,4036.49,4058.73,4009.26,4051.11,92980000.0,4051.11
2013-05-21,4009.84,4036.18,3991.38,4036.18,87155000.0,4036.18
2013-05-20,4005.79,4022.85,3993.12,4022.85,61728800.0,4022.85
2013-05-17,3968.41,4018.84,3962.31,4001.27,148916000.0,4001.27
2013-05-16,3967.7,3984.28,3957.77,3979.07,93967400.0,3979.07
2013-05-15,3959.04,3983.05,3950.57,3982.23,93773200.0,3982.23
2013-05-14,3949.9,3966.06,3922.2,3966.06,89435600.0,3966.06
2013-05-13,3948.33,3961.66,3933.32,3945.2,75023600.0,3945.2
2013-05-10,3932.43,3971.92,3930.36,3953.83,94890400.0,3953.83
2013-05-09,3927.12,3941.81,3909.0,3928.58,64145400.0,3928.58
2013-05-08,3924.0,3957.06,3919.19,3956.28,85164600.0,3956.28
2013-05-07,3915.38,3940.58,3904.9,3921.32,105486400.0,3921.32
2013-05-06,3909.49,3915.59,3897.73,3907.04,47146400.0,3907.04
2013-05-03,3873.95,3914.51,3848.33,3912.95,109438000.0,3912.95
2013-05-02,3828.62,3888.98,3819.04,3858.76,118408600.0,3858.76
2013-04-30,3883.0,3886.45,3843.37,3856.75,101008600.0,3856.75
2013-04-29,3827.93,3870.19,3827.93,3868.68,86171400.0,3868.68
2013-04-26,3821.99,3828.14,3788.47,3810.05,92558000.0,3810.05
2013-04-25,3835.25,3854.41,3825.61,3840.47,98405200.0,3840.47
2013-04-24,3786.45,3849.04,3782.56,3842.94,141670400.0,3842.94
2013-04-23,3655.65,3783.05,3655.07,3783.05,151079000.0,3783.05
2013-04-22,3673.48,3681.95,3631.58,3652.13,88581400.0,3652.13
2013-04-19,3633.33,3657.98,3613.97,3651.96,121170000.0,3651.96
2013-04-18,3617.03,3636.88,3584.38,3599.36,132881000.0,3599.36
2013-04-17,3707.05,3711.47,3591.32,3599.23,156357600.0,3599.23
2013-04-16,3694.66,3721.96,3676.45,3685.79,107304000.0,3685.79
2013-04-15,3728.69,3747.67,3684.85,3710.48,103653000.0,3710.48
2013-04-12,3765.65,3773.64,3718.11,3729.3,100063800.0,3729.3
2013-04-11,3739.9,3788.86,3736.53,3775.66,101183000.0,3775.66
2013-04-10,3685.28,3750.17,3685.28,3743.71,125566400.0,3743.71
2013-04-09,3688.23,3701.93,3655.92,3670.72,97491000.0,3670.72
2013-04-08,3677.21,3694.27,3663.16,3666.78,79621800.0,3666.78
2013-04-05,3727.63,3735.68,3638.83,3663.48,127796600.0,3663.48
2013-04-04,3767.88,3794.72,3719.2,3726.16,124703400.0,3726.16
2013-04-03,3789.58,3806.3,3752.71,3754.96,113307000.0,3754.96
2013-04-02,3729.82,3810.18,3729.28,3805.37,129183200.0,3805.37
2013-03-28,3710.92,3751.15,3695.09,3731.42,109480800.0,3731.42
2013-03-27,3763.02,3765.76,3669.17,3711.64,140480800.0,3711.64
2013-03-26,3735.32,3765.01,3732.14,3748.64,108932200.0,3748.64
2013-03-25,3823.88,3837.02,3719.44,3727.98,131724200.0,3727.98
2013-03-22,3766.24,3790.92,3750.05,3770.29,95914400.0,3770.29
2013-03-21,3821.44,3822.65,3756.58,3774.85,103805600.0,3774.85
2013-03-20,3798.12,3834.88,3785.81,3829.56,105949800.0,3829.56
2013-03-19,3813.37,3819.37,3763.99,3775.75,126794800.0,3775.75
2013-03-18,3768.07,3832.02,3761.22,3825.47,122589000.0,3825.47
2013-03-15,3869.14,3869.14,3829.73,3844.03,198658000.0,3844.03
2013-03-14,3855.3,3871.58,3849.69,3871.58,119993400.0,3871.58
2013-03-13,3834.44,3839.99,3817.56,3836.04,83695200.0,3836.04
2013-03-12,3824.11,3855.07,3822.95,3839.97,84350200.0,3839.97
2013-03-11,3830.69,3837.79,3817.92,3836.27,73777000.0,3836.27
2013-03-08,3813.7,3849.87,3813.08,3840.15,110423000.0,3840.15
2013-03-07,3783.04,3802.18,3779.82,3793.78,88515400.0,3793.78
2013-03-06,3791.54,3809.0,3769.94,3773.76,90551200.0,3773.76
2013-03-05,3737.81,3793.24,3736.91,3787.19,112332600.0,3787.19
2013-03-04,3680.58,3723.68,3673.03,3709.76,98922400.0,3709.76
2013-03-01,3712.42,3731.7,3661.21,3699.91,106514200.0,3699.91
2013-02-28,3711.72,3728.12,3685.06,3723.0,124268000.0,3723.0
2013-02-27,3641.9,3693.17,3619.47,3691.49,125396600.0,3691.49
2013-02-26,3610.06,3667.62,3600.81,3621.92,162457200.0,3621.92
2013-02-25,3721.1,3787.53,3704.93,3721.33,133442600.0,3721.33
2013-02-22,3645.72,3706.78,3644.55,3706.28,107975400.0,3706.28
2013-02-21,3687.28,3688.05,3623.17,3624.8,142011800.0,3624.8
2013-02-20,3734.13,3743.65,3701.75,3709.88,119456600.0,3709.88
2013-02-19,3662.12,3740.49,3661.13,3735.82,100742000.0,3735.82
2013-02-18,3655.53,3669.35,3640.83,3667.04,65821000.0,3667.04
2013-02-15,3665.78,3694.73,3659.24,3660.37,103652600.0,3660.37
2013-02-14,3691.5,3710.09,3657.66,3669.6,112155000.0,3669.6
2013-02-13,3692.47,3709.39,3673.14,3698.53,89567200.0,3698.53
2013-02-12,3645.27,3686.58,3639.53,3686.58,88558400.0,3686.58
2013-02-11,3660.28,3676.43,3634.82,3650.58,69192400.0,3650.58
2013-02-08,3614.96,3653.56,3608.11,3649.5,98615600.0,3649.5
2013-02-07,3638.94,3659.97,3601.05,3601.05,102633000.0,3601.05
2013-02-06,3695.27,3706.98,3624.03,3642.9,130229600.0,3642.9
2013-02-05,3654.22,3710.81,3654.22,3694.7,90120000.0,3694.7
2013-02-04,3778.36,3778.36,3659.91,3659.91,126058600.0,3659.91
2013-02-01,3734.66,3786.25,3731.72,3773.53,108402400.0,3773.53
2013-01-31,3755.11,3761.22,3725.68,3732.6,121568600.0,3732.6
2013-01-30,3787.33,3793.26,3759.26,3765.52,96926400.0,3765.52
2013-01-29,3780.2,3789.92,3762.85,3785.82,84269800.0,3785.82
2013-01-28,3784.58,3789.12,3771.11,3780.89,83043200.0,3780.89
2013-01-25,3745.81,3782.6,3745.02,3778.16,100132000.0,3778.16
2013-01-24,3723.03,3752.42,3711.55,3752.17,79562200.0,3752.17
2013-01-23,3743.47,3751.91,3714.34,3726.17,96342200.0,3726.17
2013-01-22,3759.0,3762.93,3724.53,3741.01,98266200.0,3741.01
2013-01-21,3747.58,3763.42,3739.45,3763.03,57381200.0,3763.03
2013-01-18,3758.38,3760.95,3735.71,3741.58,100071000.0,3741.58
2013-01-17,3709.12,3754.17,3705.04,3744.11,97595600.0,3744.11
2013-01-16,3694.43,3715.15,3680.61,3708.49,90940200.0,3708.49
2013-01-15,3697.21,3718.3,3689.34,3697.35,103642200.0,3697.35
2013-01-14,3721.63,3730.04,3704.17,3708.25,29746400.0,3708.25
2013-01-11,3708.88,3714.45,3683.82,3706.02,83582800.0,3706.02
2013-01-10,3716.08,3727.35,3694.07,3703.12,140769400.0,3703.12
2013-01-09,3722.09,3730.05,3703.53,3717.45,130148400.0,3717.45
2013-01-08,3694.21,3731.24,3692.9,3705.88,90902400.0,3705.88
2013-01-07,3731.49,3732.65,3696.51,3704.64,82577200.0,3704.64
2013-01-04,3713.32,3731.13,3696.54,3730.02,64316800.0,3730.02
2013-01-03,3724.3,3726.97,3703.83,3721.17,58745000.0,3721.17
2013-01-02,3702.66,3733.93,3692.9,3733.93,90342600.0,3733.93
2012-12-31,3600.16,3656.66,3599.22,3641.07,23836800.0,3641.07
2012-12-28,3677.0,3680.11,3618.67,3620.25,49791000.0,3620.25
2012-12-27,3652.45,3684.16,3652.45,3674.26,55635000.0,3674.26
2012-12-24,3662.95,3670.52,3649.89,3652.61,20914200.0,3652.61
2012-12-21,3650.25,3667.02,3637.89,3661.4,274258800.0,3661.4
2012-12-20,3652.41,3674.57,3652.08,3666.73,156365400.0,3666.73
2012-12-19,3661.63,3670.2,3650.5,3664.59,155859400.0,3664.59
2012-12-18,3650.25,3656.47,3631.61,3648.63,189095600.0,3648.63
2012-12-17,3633.17,3639.87,3611.12,3638.1,136648200.0,3638.1
2012-12-14,3643.7,3652.96,3631.88,3643.28,182944400.0,3643.28
2012-12-13,3654.22,3659.1,3633.35,3643.13,105850400.0,3643.13
2012-12-12,3646.42,3652.04,3636.02,3646.66,101235800.0,3646.66
2012-12-11,3618.97,3648.93,3609.0,3646.15,116762600.0,3646.15
2012-12-10,3587.32,3614.46,3575.53,3612.1,106222200.0,3612.1
2012-12-07,3606.76,3622.36,3590.12,3605.61,120629200.0,3605.61
2012-12-06,3598.13,3621.45,3585.33,3601.65,157769800.0,3601.65
2012-12-05,3602.21,3607.1,3575.1,3590.5,126952800.0,3590.5
2012-12-04,3563.03,3596.9,3563.02,3580.48,148535400.0,3580.48
2012-12-03,3567.9,3603.05,3563.29,3566.59,122978400.0,3566.59
2012-11-30,3568.05,3584.73,3557.28,3557.28,261395000.0,3557.28
2012-11-29,3536.8,3568.94,3532.77,3568.88,136953400.0,3568.88
2012-11-28,3489.53,3519.72,3479.16,3515.19,111925800.0,3515.19
2012-11-27,3521.17,3530.79,3491.06,3502.13,118886400.0,3502.13
2012-11-26,3513.94,3522.02,3494.27,3500.94,107463200.0,3500.94
