"id","name","path_name"
1,"Basic Materials","basic-materials"
2,"Industrial Metals & Minerals","basic-materials/industrial-metals-minerals"
3,"Consumer Goods","consumer-goods"
4,"Office Supplies","consumer-goods/office-supplies"
5,"Services","services"
6,"Rental & Leasing Services","services/rental-leasing-services"
7,"Utilities","utilities"
8,"Electric Utilities","utilities/electric-utilities"
9,"Healthcare","healthcare"
10,"Long-Term Care Facilities","healthcare/long-term-care-facilities"
11,"Major Integrated Oil & Gas","basic-materials/major-integrated-oil-gas"
12,"Industrial Goods","industrial-goods"
13,"Heavy Construction","industrial-goods/heavy-construction"
14,"Aerospace/Defense Products & Services","industrial-goods/aerospace-defense-products-services"
15,"Medical Instruments & Supplies","healthcare/medical-instruments-supplies"
16,"Processed & Packaged Goods","consumer-goods/processed-packaged-goods"
17,"Specialized Health Services","healthcare/specialized-health-services"
18,"Gold","basic-materials/gold"
19,"Biotechnology","healthcare/biotechnology"
20,"Technology","technology"
21,"Semiconductor - Integrated Circuits","technology/semiconductor-integrated-circuits"
22,"Textile - Apparel Clothing","consumer-goods/textile-apparel-clothing"
23,"Medical Appliances & Equipment","healthcare/medical-appliances-equipment"
24,"Financial","financial"
25,"Property Management","financial/property-management"
26,"Auto Parts","consumer-goods/auto-parts"
27,"Waste Management","industrial-goods/waste-management"
28,"Diagnostic Substances","healthcare/diagnostic-substances"
29,"Drug Manufacturers - Major","healthcare/drug-manufacturers-major"
30,"Nonmetallic Mineral Mining","basic-materials/nonmetallic-mineral-mining"
31,"Closed-End Fund - Debt","financial/closed-end-fund-debt"
32,"Specialty Eateries","services/specialty-eateries"
33,"Communication Equipment","technology/communication-equipment"
34,"Regional - Northeast Banks","financial/regional-northeast-banks"
35,"Savings & Loans","financial/savings-loans"
36,"Management Services","services/management-services"
37,"Jewelry Stores","services/jewelry-stores"
38,"Closed-End Fund - Foreign","financial/closed-end-fund-foreign"
39,"Independent Oil & Gas","basic-materials/independent-oil-gas"
40,"Diversified Investments","financial/diversified-investments"
41,"Cigarettes","consumer-goods/cigarettes"
42,"Photographic Equipment & Supplies","consumer-goods/photographic-equipment-supplies"
43,"Sporting Activities","services/sporting-activities"
44,"Personal Products","consumer-goods/personal-products"
45,"Industrial Equipment & Components","industrial-goods/industrial-equipment-components"
46,"Closed-End Fund - Equity","financial/closed-end-fund-equity"
47,"Machine Tools & Accessories","industrial-goods/machine-tools-accessories"
48,"Rubber & Plastics","consumer-goods/rubber-plastics"
49,"Basic Materials Wholesale","services/basic-materials-wholesale"
50,"Wholesale, Other","services/wholesale-other"
51,"Business Software & Services","technology/business-software-services"
52,"Oil & Gas Pipelines","basic-materials/oil-gas-pipelines"
53,"Home Furnishings & Fixtures","consumer-goods/home-furnishings-fixtures"
54,"Auto Parts Wholesale","services/auto-parts-wholesale"
55,"Real Estate Development","financial/real-estate-development"
56,"Staffing & Outsourcing Services","services/staffing-outsourcing-services"
57,"Diversified Machinery","industrial-goods/diversified-machinery"
58,"Auto Manufacturers - Major","consumer-goods/auto-manufacturers-major"
59,"Food Wholesale","services/food-wholesale"
60,"Diversified Electronics","technology/diversified-electronics"
61,"Sporting Goods Stores","services/sporting-goods-stores"
62,"Security & Protection Services","services/security-protection-services"
63,"Gas Utilities","utilities/gas-utilities"
64,"Recreational Goods, Other","consumer-goods/recreational-goods-other"
65,"Application Software","technology/application-software"
66,"Scientific & Technical Instruments","technology/scientific-technical-instruments"
67,"Oil & Gas Equipment & Services","basic-materials/oil-gas-equipment-services"
68,"Long Distance Carriers","technology/long-distance-carriers"
69,"Consumer Services","services/consumer-services"
70,"Internet Service Providers","technology/internet-service-providers"
71,"Resorts & Casinos","services/resorts-casinos"
72,"Steel & Iron","basic-materials/steel-iron"
73,"Restaurants","services/restaurants"
