id,symbol,title
634,6A_F,AUD/USD Futures
635,6B_F,GBP/USD Futures
636,6C_F,CAD/USD Futures
637,6E_F,EUR/USD Futures
638,6J_F,JPY/USD Futures
639,6M_F,MXN/USD Futures
640,6N_F,NZD/USD Futures
8074,6Q_F,E-Mini Silver Futures
641,6S_F,CHF/USD Futures
8075,8Q_F,E-Mini Gold Futures
4201,A,Agilent Technologies Inc.
4202,AA,Alcoa Inc.
9722,AAA-CA,Allana Potash Corp J
9723,AAB-CA,Aberdeen International
1,AAC,Australia Acquisition Corp.
681,AACC,Asset Acceptance Capital Corp.
10860,AACOU,Australia Acquisition Corp
8687,AADR,WCM/BNY Mellon Focused Growth ADR ETF
9724,AAH-CA,Aastra Technologies Ltd
4203,AAI,AirTran Holdings Inc.
683,AAME,Atlantic American Corp.
8066,AAN,"Aaron's, Inc."
685,AAON,AAON Inc.
4204,AAP,Advance Auto Parts Inc.
686,AAPL,Apple Inc.
4205,AAR,AMR Corporation Delaware Pines 7.875
9510,AAT,"American Assets, Inc."
687,AATI,"Advanced Analogic Technologies, Inc."
2,AAU,Almaden Minerals Ltd.
4206,AAV,Advantage Oil & Gas Ltd.
9725,AAV-CA,Advantage Oil & Gas
689,AAWW,Atlas Air Worldwide Holdings Inc.
690,AAXJ,iShares MSCI All Country Asia ex Jpn Idx
4207,AB,AllianceBernstein Holding L.P.
691,ABAT,"Advanced Battery Technologies, Inc."
692,ABAX,Abaxis Inc.
4209,ABB,ABB Ltd.
693,ABBC,Abington Bancorp Inc.
11364,ABBV,AbbVie Inc.
4210,ABC,AmerisourceBergen Corporation
9726,ABC-CA,Asia Bio-Chem Group
694,ABCB,Ameris Bancorp
8027,ABCD,"Cambium Learning Group, Inc."
695,ABCO,Advisory Board Co.
696,ABCW,"Anchor BanCorp Wisconsin, Inc."
697,ABFS,Arkansas Best Corporation
4212,ABG,"Asbury Automotive Group, Inc."
4213,ABH,AbitibiBowater Inc.
9727,ABH-CA,Abitibibowater Inc.
698,ABII,"Abraxis BioScience, Inc."
699,ABIO,"ARCA biopharma, Inc."
9728,ABK-A-CA,Allbanc Split Cp Cl A
3,ABL,American Biltrite Inc.
4215,ABM,ABM Industries Inc.
701,ABMD,Abiomed Inc.
9729,ABO-A-CA,Arbor Memorial Serv Cl A
9730,ABO-B-CA,Arbor Memorial Cl B
4217,ABR,Arbor Realty Trust Inc.
4218,ABT,Abbott Laboratories
9731,ABT-CA,Absolute Software J
704,ABTL,Autobytel Inc.
4219,ABV,Companhia de Bebidas Das Americas (AMBEV)
705,ABVA,Alliance Bankshares Corporation
4221,ABVT,"AboveNet, Inc."
4222,ABX,Barrick Gold Corporation
9732,ABX-CA,Barrick Gold Corporation
9733,AC-A-CA,Air Cda Inc Cl A
9734,AC-B-CA,Air Canada Cl B
706,ACAD,"ACADIA Pharmaceuticals, Inc."
708,ACAS,"American Capital, Ltd."
709,ACAT,Arctic Cat Inc.
4224,ACC,American Campus Communities Inc.
9735,ACC-CA,Amica Mature Lifestyles
10950,ACC-R-CA,Amica Mature Lifestyles Inc
711,ACCL,Accelrys Inc.
4211,ACCO,ACCO Brands Corporation
9736,ACD-CA,Accord Financial Cp
4225,ACE,ACE Limited
9737,ACE-A-CA,Ace Aviation Hldg Vv
9738,ACE-B-CA,Ace Aviation Hldgs Cl B
713,ACET,Aceto Corp.
4226,ACF,AmeriCredit Corp.
714,ACFC,Atlantic Coast Federal Corporation
715,ACFN,"Acorn Energy, Inc."
4227,ACG,"AllianceBernstein Income Fund, Inc."
716,ACGL,Arch Capital Group Ltd.
4228,ACH,Aluminum Corporation Of China Limited
10861,ACHC,Acadia Healthcare Company Inc
718,ACHN,"Achillion Pharmaceuticals, Inc."
4229,ACI,Arch Coal Inc.
719,ACIW,"ACI Worldwide, Inc."
4230,ACL,Alcon Inc.
722,ACLS,Axcelis Technologies Inc.
4231,ACM,AECOM Technology Corporation
9739,ACM-A-CA,Astral Media Cl A Nv
9740,ACM-B-CA,Astral Media Cl B Sv
723,ACMR,AC Moore Arts & Crafts Inc.
4232,ACN,Accenture plc
9474,ACNB,ACNB Corp.
4233,ACO,Amcol International Corp.
9741,ACO-X-CA,Atco Ltd. Cl I Nv
9742,ACO-Y-CA,Atco Ltd Cl 2
7960,ACOM,Ancestry.com Inc.
724,ACOR,"Acorda Therapeutics, Inc."
10862,ACP,Avenue Income Credit Strategies
725,ACPW,Active Power Inc.
9743,ACQ-CA,Autocanada Inc
10863,ACRX,Acelrx Pharmaceuticals
4234,ACS,"Affiliated Computer Services, Inc."
7756,ACT,Actavis Inc. 
727,ACTG,Acacia Research Corporation
730,ACTS,"Actions Semiconductor Co., Ltd."
9649,ACTV,The Active Network
4,ACU,Acme United Corp.
732,ACUR,Acura Pharmaceuticals Inc.
4235,ACV,Alberto-Culver Company
9494,ACW,Accuride Corp.
733,ACWI,iShares MSCI ACWI Index
734,ACWX,iShares MSCI ACWI ex US Index
735,ACXM,Acxiom Corporation
5,ACY,AeroCentury Corp.
9744,AD-CA,Alaris Royalty Corp
9745,ADA-CA,Acadian Mng Corp. J
737,ADAT,Authentidate Holding Corp.
738,ADBE,Adobe Systems Inc.
4236,ADC,Agree Realty Corp.
741,ADEP,Adept Technology Inc.
742,ADES,"ADA-ES, Inc."
7927,ADGE,"American DG Energy, Inc."
743,ADGF,Adams Golf Inc.
4239,ADI,Analog Devices Inc.
7,ADK,AdCare Health Systems Inc.
744,ADLR,Adolor Corp.
4240,ADM,Archer Daniels Midland Company
9746,ADN-CA,Acadian Timber Corp
11180,ADNC,Audience
746,ADP,"Automatic Data Processing, Inc."
747,ADPI,"American Dental Partners, Inc."
749,ADRA,BLDRS Asia 50 ADR Index
750,ADRD,BLDRS Developed Markets 100 ADR Index
751,ADRE,BLDRS Emerging Markets 50 ADR Index
752,ADRU,BLDRS Europe 100 ADR Index
4241,ADS,Alliance Data Systems Corporation
753,ADSK,"Autodesk, Inc."
11340,ADT,The ADT Corporation
755,ADTN,ADTRAN Inc.
7949,ADUS,Addus HomeCare Corp.
9747,ADV-CA,Alderon Iron Ore Corp J
758,ADVS,"Advent Software, Inc."
9748,ADW-A-CA,Andrew Peller A Nv
9749,ADW-B-CA,Andrew Peller Ltd. B
4242,ADX,The Adams Express Company
4243,ADY,"Feihe International, Inc."
4244,ADZ,PowerShares DB Agriculture Short ETN
9,AE,Adams Resources & Energy Inc.
4245,AEA,"Advance America, Cash Advance Centers Inc."
4246,AEB,AEGON N.V.
4247,AEC,Associated Estates Realty Corp.
4248,AED,AEGON N.V.
4249,AEE,Ameren Corporation
4250,AEF,AEGON N.V.
9750,AEF-CA,Aurora Oil&Gas Ord J
4251,AEG,AEGON N.V.
10864,AEGN,Aegion Corp
9345,AEGR,"Aegerion Pharmaceuticals, Inc."
4252,AEH,AEGON N.V.
759,AEHR,Aehr Test Systems
9751,AEI-CA,Arsenal Energy Inc J
760,AEIS,"Advanced Energy Industries, Inc."
4253,AEL,American Equity Investment Life Holding Co.
4254,AEM,Agnico-Eagle Mines Ltd.
9752,AEM-CA,Agnico-Eagle Mines Ltd.
10,AEN,"Adeona Pharmaceuticals, Inc."
9753,AEN-CA,Antrim Energy Inc
4255,AEO,"American Eagle Outfitters, Inc."
4256,AEP,"American Electric Power Co., Inc."
761,AEPI,AEP Industries Inc.
4257,AER,AerCap Holdings N.V.
762,AERG,"Applied Energetics, Inc."
8678,AERL,Asia Entertainment & Resources Ltd.
763,AEROE,"Aerogrow International, Inc."
764,AERT,"Advanced Environmental Recycling Technologies, Inc."
4258,AES,The AES Corporation
4259,AET,Aetna Inc.
765,AETI,"American Electric Technologies, Inc"
4260,AEV,AEGON N.V.
766,AEY,ADDvantage Technologies Group Inc.
11,AEZ,American Oil & Gas Inc.
9754,AEZ-CA,Aeterna Zentaris Inc
767,AEZS,AEterna Zentaris Inc. (USA)
4262,AF,Astoria Financial Corporation
9755,AF-CA,Alarmforce Ind Inc
768,AFAM,Almost Family Inc.
4263,AFB,"AllianceBernstein National Municipal Income Fund, Inc"
4264,AFC,Allied Capital Corporation
8554,AFCB,Athens Bancshares Corporation
769,AFCE,AFC Enterprises Inc.
4265,AFE,American Financial Group Inc.
4266,AFF,American International Group Inc.
770,AFFM,Affirmative Insurance Holdings Inc.
771,AFFX,Affymetrix Inc.
772,AFFY,"Affymax, Inc."
4267,AFG,American Financial Group Inc.
4268,AFK,Market Vectors Africa Index ETF
4269,AFL,AFLAC Inc.
9756,AFN-CA,Ag Growth Int'L Inc
773,AFOP,Alliance Fiber Optic Products Inc.
10865,AFP-UN-CA,Agf Master Lp Uts
774,AFSI,"AmTrust Financial Services, Inc."
13,AFT,"Apollo Senior Floating Rate Fund, Inc."
10866,AFT-UN-CA,Diversified Alpha Fund Ii Units
4271,AG,First Majestic Silver Corp.
10867,AG-UN-CA,Arctic Group Inc (The) Uts
4272,AGA,PowerShares DB Agriculture Dble Shrt ETN
10868,AGB-UN-CA,Aston Agribusnss Un
4273,AGC,Advent/Claymore Global Convertible Securities & Income Fund
4274,AGCO,AGCO Corporation
4275,AGD,Alpine Global Dynamic Dividend Fund
775,AGEN,Agenus Inc.
4276,AGF,PowerShares DB Agriculture Long ETN
9757,AGF-B-CA,AGF Management Ltd.
4277,AGG,iShares Barclays Aggregate Bond
9758,AGI-CA,Alamos Gold Inc
776,AGII,"Argo Group International Holdings, Ltd."
8680,AGLS,Mars Hill Global Relative Value ETF
4279,AGM,Federal Agricultural Mortgage Corp.
4281,AGN,Allergan Inc.
778,AGNC,American Capital Agency Corp.
4282,AGO,Assured Guaranty Ltd.
4283,AGP,AMERIGROUP Corporation
4284,AGQ,ProShares Ultra Silver
