"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Afterburn","http://www.rcdb.com/./527.htm","Carowinds","http://www.rcdb.com/./4542.htm","1999","Inverted","113","2956","6","62","167","35.102799","-80.941408",""
"Air","http://www.rcdb.com/./1458.htm","Alton Towers","http://www.rcdb.com/./4796.htm","2002","Flying","65","2755","2","46.6","100","52.989203","-1.885014","UK"
"Alpengeist","http://www.rcdb.com/./277.htm","Busch Gardens Williamsburg","http://www.rcdb.com/./4548.htm","1997","Inverted","195","3828","6","67","190","37.233980","-76.648160","USA"
"Apocalypse","http://www.rcdb.com/./10136.htm","Six Flags America","http://www.rcdb.com/./4558.htm","2012","Stand Up","100","2900","2","55","120","38.908403","-76.774392","USA"
"Apollo's Chariot","http://www.rcdb.com/./531.htm","Busch Gardens Williamsburg","http://www.rcdb.com/./4548.htm","1999","Mega","170","4882","0","73","135","37.233980","-76.648160","USA"
"Batman la Fuga","http://www.rcdb.com/./1365.htm","Parque Warner Madrid","http://www.rcdb.com/./5028.htm","2002","Inverted","105","2700","5","49.7","75","40.230000","-3.593060","Spain"
"Batman - The Dark Knight","http://www.rcdb.com/./1549.htm","Six Flags New England","http://www.rcdb.com/./4565.htm","2002","Floorless","117","2600","5","55","140","42.038401","-72.613535","USA"
"Batman The Ride","http://www.rcdb.com/./5.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","1992","Inverted","100","2700","5","50","120","42.367594","-87.934012","USA"
"Batman The Ride","http://www.rcdb.com/./24.htm","Six Flags Magic Mountain","http://www.rcdb.com/./4532.htm","1994","Inverted","105","2700","5","50","120","34.424243","-118.597906","USA"
"Batman The Ride","http://www.rcdb.com/./32.htm","Six Flags Great Adventure","http://www.rcdb.com/./4534.htm","1993","Inverted","105","2693","5","50","90","40.137005","-74.440956","USA"
"Batman The Ride","http://www.rcdb.com/./43.htm","Six Flags St. Louis","http://www.rcdb.com/./4536.htm","1995","Inverted","105","2693","5","50","120","38.514923","-90.675348","USA"
"Batman The Ride","http://www.rcdb.com/./421.htm","Six Flags Over Georgia","http://www.rcdb.com/./4535.htm","1997","Inverted","105","2700","5","50","120","33.768915","-84.549977","USA"
"Batman The Ride","http://www.rcdb.com/./552.htm","Six Flags Over Texas","http://www.rcdb.com/./4531.htm","1999","Inverted","105","2700","5","50","120","32.757057","-97.069981","USA"
"Batman: The Ride","http://www.rcdb.com/./1886.htm","Six Flags New Orleans","http://www.rcdb.com/./4747.htm","2003","Inverted","105","2693","5","50","120","30.052511","-89.935523","USA"
"Behemoth","http://www.rcdb.com/./4005.htm","Canada's Wonderland","http://www.rcdb.com/./4539.htm","2008","Mega","230","5318","0","77","0","43.840556","-79.541874","Canada"
"Bizarro","http://www.rcdb.com/./502.htm","Six Flags Great Adventure","http://www.rcdb.com/./4534.htm","1999","Floorless","142","3985","7","61","140","40.137005","-74.440956","USA"
