"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Adventure Express","http://www.rcdb.com/./70.htm","Kings Island","http://www.rcdb.com/./4540.htm","1991","Sit Down","63","2963","0","35","140","39.342080","-84.268460","USA"
"Afterburner","http://www.rcdb.com/./332.htm","Fun Spot","http://www.rcdb.com/./4616.htm","1991","Sit Down","56","635","1","45","66","41.676425","-85.030278","USA"
"Anaconda","http://www.rcdb.com/./92.htm","Kings Dominion","http://www.rcdb.com/./4544.htm","1991","Sit Down","128","2700","4","50","110","37.838440","-77.443310","USA"
"Bat","http://www.rcdb.com/./627.htm","Kings Island","http://www.rcdb.com/./4540.htm","1981","Suspended","0","0","0","0","0","39.342080","-84.268460","USA"
"Big Bad John","http://www.rcdb.com/./1452.htm","Magic Springs & Crystal Falls","http://www.rcdb.com/./4682.htm","2002","Sit Down","32","2349","0","37","180","34.519827","-93.017011","USA"
"Big Bad Wolf","http://www.rcdb.com/./111.htm","Busch Gardens Williamsburg","http://www.rcdb.com/./4548.htm","1984","Suspended","100","2800","0","48","180","37.233980","-76.648160","USA"
"Big Dipper","http://www.rcdb.com/./1141.htm","Luna Park","http://www.rcdb.com/./4944.htm","1995","Sit Down","131","2952","2","52.8","0","-33.846823","151.209759","Australia"
"Black Widow","http://www.rcdb.com/./181.htm","Six Flags New England","http://www.rcdb.com/./4565.htm","1977","Sit Down","56","635","1","45","66","42.038401","-72.613535","USA"
"Black Widow","http://www.rcdb.com/./692.htm","Old Indiana Fun-n-Water Park","http://www.rcdb.com/./4617.htm","2000","Sit Down","56","635","1","45","66","40.144489","-86.538917","USA"
"Boomerang","http://www.rcdb.com/./1441.htm","Tokyo Dome City","http://www.rcdb.com/./4982.htm","1980","Sit Down","56","635","1","45","66","35.705010","139.751694","Japan"
"Canobie Corkscrew","http://www.rcdb.com/./296.htm","Canobie Lake Park","http://www.rcdb.com/./4602.htm","1987","Sit Down","73","0","2","0","90","42.794580","-71.249396","USA"
"Canyon Blaster","http://www.rcdb.com/./104.htm","Adventuredome","http://www.rcdb.com/./4550.htm","1993","Sit Down","94","2423","4","41","90","36.137906","-115.166491","USA"
"Canyon Blaster","http://www.rcdb.com/./2214.htm","Great Escape & Splashwater Kingdom","http://www.rcdb.com/./4596.htm","2003","Sit Down","56","2000","0","45","150","43.350999","-73.687041","USA"
"Carolina Cyclone","http://www.rcdb.com/./81.htm","Carowinds","http://www.rcdb.com/./4542.htm","1980","Sit Down","95","2100","4","41","90","35.102799","-80.941408",""
"Carolina Goldrusher","http://www.rcdb.com/./83.htm","Carowinds","http://www.rcdb.com/./4542.htm","1973","Sit Down","0","2397","0","0","137","35.102799","-80.941408",""
"Cedar Creek Mine Ride","http://www.rcdb.com/./18.htm","Cedar Point","http://www.rcdb.com/./4529.htm","1969","Sit Down","48","2540","0","42","162","41.481972","-82.684565","USA"
"Chicago Loop","http://www.rcdb.com/./660.htm","Old Chicago","http://www.rcdb.com/./4768.htm","1975","Sit Down","73","0","2","0","90","41.678267","-88.070623",""
