"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Anubis: The Ride","http://www.rcdb.com/./4181.htm","Plopsaland De Panne","http://www.rcdb.com/./4850.htm","2009","Sit Down","111","1968","3","55.9","0","51.080631","2.597623","Belgium"
"Aqua Wind","http://www.rcdb.com/./2591.htm","Lagunasia","http://www.rcdb.com/./5228.htm","2004","Sit Down","0","0","0","0","0","34.808232","137.270200","Japan"
"Coastersaurus","http://www.rcdb.com/./2614.htm","Legoland California","http://www.rcdb.com/./4733.htm","2004","Sit Down","18","492","0","20.5","0","33.127824","-117.311529","USA"
"Cobra","http://www.rcdb.com/./2723.htm","Paultons Park","http://www.rcdb.com/./4819.htm","2006","Sit Down","54","1476","0","31.1","0","50.949156","-1.552373","UK"
"Dare Devil Dive","http://www.rcdb.com/./9430.htm","Six Flags Over Georgia","http://www.rcdb.com/./4535.htm","2011","Sit Down","95","2099","3","52","0","33.768915","-84.549977","USA"
"Die Schlange von Midgard","http://www.rcdb.com/./9465.htm","Hansa Park","http://www.rcdb.com/./4873.htm","2011","Sit Down","32","656","0","28","0","54.075178","10.779476","Germany"
"Drachenjagd","http://www.rcdb.com/./1683.htm","Legoland Deutschland","http://www.rcdb.com/./5059.htm","2003","Sit Down","18","492","0","20.5","0","48.424452","10.301260","Germany"
"Drachenritt","http://www.rcdb.com/./1575.htm","Belantis","http://www.rcdb.com/./5112.htm","2003","Sit Down","0","0","0","0","0","51.254133","12.316189",""
"Eurofighter","http://www.rcdb.com/./10059.htm","Zoosafari Fasanolandia","http://www.rcdb.com/./4930.htm","2011","Sit Down","0","0","2","0","0","40.832247","17.340556","Italy"
"Fairly Odd Coaster","http://www.rcdb.com/./2508.htm","Nickelodeon Universe","http://www.rcdb.com/./4547.htm","2004","Sit Down","54","1345","0","31","90","44.854367","-93.242115","USA"
"Falcon","http://www.rcdb.com/./3936.htm","Duinrell","http://www.rcdb.com/./4858.htm","2009","Sit Down","72","1184","3","43.5","0","52.146354","4.380670","Netherlands"
"Fluch von Novgorod","http://www.rcdb.com/./4075.htm","Hansa Park","http://www.rcdb.com/./4873.htm","2009","Sit Down","131","0","1","62.1","0","54.075178","10.779476","Germany"
"Galaxy Orbiter","http://www.rcdb.com/./3829.htm","Galaxyland Amusement Park","http://www.rcdb.com/./4568.htm","2007","Sit Down","44","1492","0","30","87","53.523364","-113.621217",""
"Gipfelstürmer","http://www.rcdb.com/./9573.htm","Freizeitpark Ruhpolding","http://www.rcdb.com/./9572.htm","2011","Sit Down","0","0","0","0","0","47.740503","12.616886","Germany"
"G'sengte Sau","http://www.rcdb.com/./1011.htm","Erlebnispark Tripsdrill","http://www.rcdb.com/./4886.htm","1998","Sit Down","52","1574","0","0","0","49.036785","9.054751","Germany"
"Han-Katten","http://www.rcdb.com/./3802.htm","BonBon-Land","http://www.rcdb.com/./5015.htm","2007","Sit Down","52","1302","0","34.2","60","55.260369","11.864312","Denmark"
"Heiße Fahrt","http://www.rcdb.com/./2590.htm","Wild- und Freizeitpark Klotten/Cochem","http://www.rcdb.com/./5523.htm","2004","Sit Down","57","1745","0","34.2","80","50.158803","7.162668","Germany"
"Huracan","http://www.rcdb.com/./9119.htm","Belantis","http://www.rcdb.com/./5112.htm","2010","Sit Down","105","1837","5","52.8","90","51.254133","12.316189",""
