"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"10 Inversion Roller Coaster","http://www.rcdb.com/./3475.htm","Chimelong Paradise","http://www.rcdb.com/./5904.htm","2006","Sit Down","98","2788","10","45","92","23.002081","113.325562","China"
"Alpine Bobsled","http://www.rcdb.com/./495.htm","Great Escape & Splashwater Kingdom","http://www.rcdb.com/./4596.htm","1998","Bobsled","64","1490","0","35","100","43.350999","-73.687041","USA"
"American Eagle","http://www.rcdb.com/./9.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","1981","Wooden","127","4650","0","66","143","42.367594","-87.934012","USA"
"Aska","http://www.rcdb.com/./1244.htm","Nara Dreamland","http://www.rcdb.com/./4979.htm","1998","Wooden","98","3547","0","49.7","105","34.699610","135.822655","Japan"
"Atlantis Adventure","http://www.rcdb.com/./1646.htm","Lotte World","http://www.rcdb.com/./5016.htm","2003","Sitdown","72","2198","0","46.6","108","0","0","South Korea"
"Avalancha","http://www.rcdb.com/./1635.htm","Xetulul","http://www.rcdb.com/./5148.htm","2002","Sit Down","0","0","8","54.7","0","0","0","Guatemala"
"Avatar Airbender","http://www.rcdb.com/./4094.htm","Nickelodeon Universe","http://www.rcdb.com/./4547.htm","2008","Half-pipe / Impulse","70","0","0","0","0","44.854367","-93.242115","USA"
"Balder","http://www.rcdb.com/./1562.htm","Liseberg","http://www.rcdb.com/./4909.htm","2003","Wooden","118","3510","0","55.9","128","57.695009","11.993015","Sweden"
"Batman The Escape","http://www.rcdb.com/./53.htm","Six Flags AstroWorld","http://www.rcdb.com/./4537.htm","1993","Stand Up","90","2300","1","0","0","29.675574","-95.407033","USA"
"Bizarro","http://www.rcdb.com/./628.htm","Six Flags New England","http://www.rcdb.com/./4565.htm","2000","Mega-lite / Mega / Giga","208","5400","0","77","155","42.038401","-72.613535","USA"
"Bobbaan","http://www.rcdb.com/./899.htm","Efteling","http://www.rcdb.com/./4839.htm","1985","Bobsled","65","1719","0","37.3","100","51.650061","5.049784","Netherlands"
"California Screamin'","http://www.rcdb.com/./731.htm","Disney California Adventure Park","http://www.rcdb.com/./4783.htm","2001","Sit Down","0","6072","1","55","156","33.805468","-117.921946","USA"
"Cheetah Hunt","http://www.rcdb.com/./9456.htm","Busch Gardens Tampa","http://www.rcdb.com/./4543.htm","2011","Launched","102","4429","1","60","0","28.037302","-82.421451","USA"
"Cobra","http://www.rcdb.com/./189.htm","La Ronde","http://www.rcdb.com/./4567.htm","1995","Stand Up","0","2575","1","48","0","45.523932","-73.535067","Canada"
"Colossos","http://www.rcdb.com/./988.htm","Heide-Park Soltau","http://www.rcdb.com/./4874.htm","2001","Wooden","196","4409","0","0","145","53.024283","9.878941","Germany"
"Colossus","http://www.rcdb.com/./1412.htm","Thorpe Park","http://www.rcdb.com/./4814.htm","2002","Sit Down","98","2788","10","45","92","51.403675","-0.515153","UK"
"Comet Express","http://www.rcdb.com/./1336.htm","Lotte World","http://www.rcdb.com/./5016.htm","1995","Sit Down","0","0","0","0","135","0","0","South Korea"
"Cop Car Chase","http://www.rcdb.com/./970.htm","Movie Park Germany","http://www.rcdb.com/./4869.htm","1996","Sit Down","0","2000","2","0","80","51.622113","6.974398","Germany"
"Desert Race","http://www.rcdb.com/./3617.htm","Heide-Park Soltau","http://www.rcdb.com/./4874.htm","2007","Launched","62","2132","0","62.1","49","53.024283","9.878941","Germany"
"Disaster Transport","http://www.rcdb.com/./19.htm","Cedar Point","http://www.rcdb.com/./4529.htm","1985","Bobsled","63","1932","0","40","152","41.481972","-82.684565","USA"
"Dragon","http://www.rcdb.com/./190.htm","La Ronde","http://www.rcdb.com/./4567.htm","1994","Sit Down","0","0","0","0","0","45.523932","-73.535067","Canada"
"Elf","http://www.rcdb.com/./1304.htm","Hirakata Park","http://www.rcdb.com/./5004.htm","2001","Wooden","60","2282","0","36.1","98","34.806272","135.639009","Japan"
"El Toro","http://www.rcdb.com/./3183.htm","Six Flags Great Adventure","http://www.rcdb.com/./4534.htm","2006","Wooden","181","4400","0","70","102","40.137005","-74.440956","USA"
