"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Abismo","http://www.rcdb.com/./3185.htm","Parque de Atracciones de Madrid","http://www.rcdb.com/./4928.htm","2006","Sit Down","151","1476","2","65.2","60","40.411062","-3.751702","Spain"
"BuzzSaw","http://www.rcdb.com/./10048.htm","Dreamworld","http://www.rcdb.com/./4938.htm","2011","Sit Down","151","492","2","65.3","50","-27.864086","153.314595","Australia"
"Cagliostro","http://www.rcdb.com/./8853.htm","Rainbow MagicLand","http://www.rcdb.com/./5627.htm","2011","Sit Down","55","1410","0","36","75","41.764850","12.959864","Italy"
"Clouds of Fairyland","http://www.rcdb.com/./8982.htm","World Joyland","http://www.rcdb.com/./8981.htm","2011","Sit Down","151","492","2","65.3","60","31.498945","120.046963",""
"Crazy Mine","http://www.rcdb.com/./982.htm","Hansa Park","http://www.rcdb.com/./4873.htm","1997","Sit Down","49","1213","0","28","70","54.075178","10.779476","Germany"
"Crush's Coaster","http://www.rcdb.com/./3306.htm","Disneyland Paris - Walt Disney Studios Park","http://www.rcdb.com/./5054.htm","2007","Sit Down","0","0","0","0","115","0","0","France"
"Dizz","http://www.rcdb.com/./9331.htm","Bobbejaanland","http://www.rcdb.com/./4846.htm","2011","Sit Down","55","1410","0","34.2","0","51.200565","4.907928","Belgium"
"Dragon's Fury","http://www.rcdb.com/./2410.htm","Chessington World of Adventures","http://www.rcdb.com/./4798.htm","2004","Sit Down","50","1706","0","0","0","51.348492","-0.317344","UK"
"Dream Coaster","http://www.rcdb.com/./9589.htm","Dream City","http://www.rcdb.com/./9588.htm","2010","Sit Down","82","1263","3","43.5","45","0","0","Iraq"
"Fiorano GT Challenge","http://www.rcdb.com/./4245.htm","Ferrari World Abu Dhabi","http://www.rcdb.com/./6302.htm","2010","Sit Down","0","3280","0","0","0","0","0","United Arab Emirates"
"Formule X","http://www.rcdb.com/./3602.htm","Drievliet Family Park","http://www.rcdb.com/./4840.htm","2007","Sit Down","49","1164","2","43.5","47","52.055248","4.349331","Netherlands"
"Freischütz","http://www.rcdb.com/./9100.htm","Bayern Park","http://www.rcdb.com/./5068.htm","2011","Sit Down","78","1584","4","49.7","0","48.529772","12.634310","Germany"
"G Force","http://www.rcdb.com/./2926.htm","Drayton Manor","http://www.rcdb.com/./4803.htm","2005","Sit Down","82","1263","3","43.5","45","52.612092","-1.714996","UK"
"Go Bananas!","http://www.rcdb.com/./707.htm","Wild Adventures","http://www.rcdb.com/./4703.htm","2000","Sit Down","49","1213","0","28","70","30.720735","-83.321879","USA"
"Gotham City Gauntlet Escape from Arkham Asylum","http://www.rcdb.com/./9431.htm","Six Flags New England","http://www.rcdb.com/./4565.htm","2011","Sit Down","49","1213","0","28","92","42.038401","-72.613535","USA"
"Holly's Wilde Autofahrt","http://www.rcdb.com/./9128.htm","Holiday Park","http://www.rcdb.com/./4871.htm","2010","Sit Down","49","1213","0","28","94","49.318760","8.297578","Germany"
"Hollywood Rip, Ride, Rockit","http://www.rcdb.com/./3866.htm","Universal Studios Florida","http://www.rcdb.com/./4736.htm","2009","Sit Down","167","0","0","65","0","28.478558","-81.468301","USA"
"Kopermijn","http://www.rcdb.com/./901.htm","Drievliet Family Park","http://www.rcdb.com/./4840.htm","1996","Sit Down","49","1213","0","28","95","52.055248","4.349331","Netherlands"
"Rat","http://www.rcdb.com/./3135.htm","Loudoun Castle","http://www.rcdb.com/./4914.htm","2005","Sit Down","49","1213","0","28","94","55.611514","-4.368289","UK"
"Rattlesnake","http://www.rcdb.com/./785.htm","Chessington World of Adventures","http://www.rcdb.com/./4798.htm","1998","Sit Down","49","1213","0","28","70","51.348492","-0.317344","UK"
