"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"7 Picos","http://www.rcdb.com/./1320.htm","Parque de Atracciones de Madrid","http://www.rcdb.com/./4928.htm","1969","Sit Down","44","1509","0","37.3","86","40.411062","-3.751702","Spain"
"Achtbaan","http://www.rcdb.com/./1498.htm","Bobbejaanland","http://www.rcdb.com/./4846.htm","1976","Sit Down","0","0","0","0","0","51.200565","4.907928","Belgium"
"Achterbahn","http://www.rcdb.com/./1009.htm","Skyline Park","http://www.rcdb.com/./4885.htm","1999","Sit Down","0","0","0","0","0","48.043582","10.593942","Germany"
"Aconcagua","http://www.rcdb.com/./1504.htm","Parque de la Ciudad","http://www.rcdb.com/./5074.htm","1983","Sit Down","118","2463","0","57.9","0","-34.671392","-58.451133","Argentina"
"Alpen Blitz","http://www.rcdb.com/./1509.htm","Parque de la Ciudad","http://www.rcdb.com/./5074.htm","1983","Sit Down","16","689","0","44.7","0","-34.671392","-58.451133","Argentina"
"Alpen Blitz","http://www.rcdb.com/./1656.htm","Six Flags Great Adventure","http://www.rcdb.com/./4534.htm","1976","Sit Down","0","0","0","0","0","40.137005","-74.440956","USA"
"Alpen Blitz","http://www.rcdb.com/./1657.htm","Playcenter São Paulo","http://www.rcdb.com/./4946.htm","-","Sit Down","0","0","0","0","0","-23.517881","-46.663958","Brazil"
"Alpen Blitz","http://www.rcdb.com/./4097.htm","Queens Land","http://www.rcdb.com/./6237.htm","2007 or earlier","Sit Down","0","0","0","0","0","13.030370","80.028180","India"
"Alpenblitz","http://www.rcdb.com/./1380.htm","Bobbejaanland","http://www.rcdb.com/./4846.htm","1979","Sit Down","0","0","0","0","0","51.200565","4.907928","Belgium"
"Alpenblitz","http://www.rcdb.com/./1663.htm","Movie Park Germany","http://www.rcdb.com/./4869.htm","1986","Sit Down","0","0","0","0","0","51.622113","6.974398","Germany"
"Alpenblitz","http://www.rcdb.com/./2207.htm","Gorky Park","http://www.rcdb.com/./5374.htm","-","Sit Down","0","0","0","0","0","55.729442","37.599289","Russia"
"Alpina Bobs","http://www.rcdb.com/./2943.htm","Holly Park","http://www.rcdb.com/./5942.htm","2003 or earlier","Sit Down","44","1765","0","31.1","60","47.546850","-0.159838","France"
"Andalusia Railroad","http://www.rcdb.com/./2991.htm","Kure Portopialand","http://www.rcdb.com/./5695.htm","1991","Sit Down","0","3225","0","54.1","0","0","0","Japan"
"Big Bend","http://www.rcdb.com/./1119.htm","Six Flags Over Texas","http://www.rcdb.com/./4531.htm","1971","Sit Down","81","2876","0","52","98","32.757057","-97.069981","USA"
"Big Bend","http://www.rcdb.com/./2167.htm","Six Flags St. Louis","http://www.rcdb.com/./4536.htm","1980","Sit Down","81","2876","0","52","98","38.514923","-90.675348","USA"
"Black Hole","http://www.rcdb.com/./799.htm","Alton Towers","http://www.rcdb.com/./4796.htm","1983","Sit Down","44","1919","0","0","110","52.989203","-1.885014","UK"
"Black Hole","http://www.rcdb.com/./3080.htm","Avonturenpark Hellendoorn","http://www.rcdb.com/./4841.htm","1986","Sit Down","0","0","0","0","0","52.389771","6.435800","Netherlands"
"BMRX","http://www.rcdb.com/./1200.htm","Kobe Portopialand","http://www.rcdb.com/./4963.htm","1987","Sit Down","86","2601","0","43.5","116","0","0","Japan"
"Bobsleigh","http://www.rcdb.com/./936.htm","Nigloland","http://www.rcdb.com/./4854.htm","1995","Sit Down","0","0","0","0","80","48.262941","4.615545","France"
"Broca","http://www.rcdb.com/./1392.htm","Parque Nacional Del Café","http://www.rcdb.com/./5034.htm","1999","Sit Down","56","2583","0","41.2","151","0","0","Colombia"
"Brontojet","http://www.rcdb.com/./9051.htm","Movieland Studios","http://www.rcdb.com/./5459.htm","2010","Sit Down","0","0","0","0","0","45.477286","10.721326","Italy"
"Bullet","http://www.rcdb.com/./818.htm","Flamingo Land Theme Park & Zoo","http://www.rcdb.com/./4804.htm","1991","Sit Down","131","0","1","50","0","54.210500","-0.808800","UK"
"Cascabel","http://www.rcdb.com/./353.htm","La Feria Chapultepec Magico","http://www.rcdb.com/./4628.htm","1994","Sit Down","0","0","1","0","0","19.414985","-99.195567","Mexico"
"City Jet","http://www.rcdb.com/./402.htm","Gillian's Wonderland Pier","http://www.rcdb.com/./4671.htm","1976","Sit Down","0","0","0","0","0","39.277384","-74.566587","USA"
"City Jet","http://www.rcdb.com/./2299.htm","Shaheen's Fun-O-Rama Park","http://www.rcdb.com/./5411.htm","-","Sit Down","0","0","0","0","0","42.843435","-70.816793","USA"
"City Jet","http://www.rcdb.com/./2330.htm","Morey's Piers","http://www.rcdb.com/./4560.htm","1975","Sit Down","0","0","0","0","0","38.989470","-74.802754","USA"
"City Jet","http://www.rcdb.com/./2933.htm","Steel Pier","http://www.rcdb.com/./4739.htm","-","Sit Down","0","0","0","0","0","39.357544","-74.419380","USA"
"City Jet","http://www.rcdb.com/./3074.htm","All Star Adventures","http://www.rcdb.com/./5734.htm","2005","Sit Down","0","0","0","0","0","37.700667","-97.224470","USA"
"City Jet","http://www.rcdb.com/./4092.htm","Kid's World","http://www.rcdb.com/./6235.htm","1978 or earlier","Sit Down","0","0","0","0","0","0","0","USA"
"Coleoz'Arbres","http://www.rcdb.com/./947.htm","Bagatelle","http://www.rcdb.com/./4860.htm","1998 or earlier","Sit Down","44","1765","0","31.1","0","50.428527","1.601053","France"
"Colossus","http://www.rcdb.com/./1508.htm","Playcenter São Paulo","http://www.rcdb.com/./4946.htm","1982 or earlier","Sit Down","93","2200","2","52","120","-23.517881","-46.663958","Brazil"
"Colossus the Fire Dragon","http://www.rcdb.com/./197.htm","Lagoon","http://www.rcdb.com/./4570.htm","1984","Sit Down","85","2850","2","55","105","40.985200","-111.896340","USA"
"Comet II","http://www.rcdb.com/./1446.htm","State Fair of Texas","http://www.rcdb.com/./5055.htm","1999","Sit Down","0","0","0","0","100","32.777084","-96.758455","USA"
"Cortina Bob","http://www.rcdb.com/./1387.htm","Wiener Prater","http://www.rcdb.com/./4926.htm","1969","Sit Down","44","1765","0","31.1","0","48.215960","16.399927","Austria"
"Cyclone","http://www.rcdb.com/./439.htm","Rocky Point Park","http://www.rcdb.com/./4728.htm","1984 or later","Sit Down","44","1509","0","0","0","41.689407","-71.367385","USA"
"Cyclone","http://www.rcdb.com/./440.htm","Sandspit Cavendish Beach","http://www.rcdb.com/./4689.htm","1996","Sit Down","44","1509","0","0","0","46.485703","-63.405823","Canada"
"Die Wildkatze","http://www.rcdb.com/./396.htm","Busch Gardens Williamsburg","http://www.rcdb.com/./4548.htm","1976","Sit Down","44","1509","0","0","0","37.233980","-76.648160","USA"
"Double Loop","http://www.rcdb.com/./1201.htm","Kobe Portopialand","http://www.rcdb.com/./4963.htm","1981","Sit Down","93","2362","2","49.7","75","0","0","Japan"
"Düsenspirale","http://www.rcdb.com/./338.htm","Wiener Prater","http://www.rcdb.com/./4926.htm","1964","Sit Down","27","1049","0","24.9","0","48.215960","16.399927","Austria"
"Enigma","http://www.rcdb.com/./852.htm","Pleasurewood Hills","http://www.rcdb.com/./4818.htm","1995","Sit Down","52","1738","0","34","0","52.507595","1.745808","UK"
"Frozen","http://www.rcdb.com/./3954.htm","Sokolniki Park","http://www.rcdb.com/./6054.htm","2003 or earlier","Sit Down","0","0","0","0","0","55.794665","37.676464","Russia"
"Gebirgsbahn","http://www.rcdb.com/./979.htm","Phantasialand","http://www.rcdb.com/./4872.htm","1975","Sit Down","92","3215","0","0","0","50.799764","6.880295","Germany"
"Geronimo","http://www.rcdb.com/./1542.htm","Luna Park","http://www.rcdb.com/./4944.htm","1982","Sit Down","44","1919","0","0","0","-33.846823","151.209759","Australia"
"Glissade","http://www.rcdb.com/./1116.htm","Busch Gardens Williamsburg","http://www.rcdb.com/./4548.htm","1975","Sit Down","0","0","0","0","0","37.233980","-76.648160","USA"
"Golden Loop","http://www.rcdb.com/./1168.htm","Gold Reef City","http://www.rcdb.com/./4957.htm","1989 or later","Sit Down","137","863","1","57","30","-26.236015","28.011714","South Africa"
"Grand Canyon Bahn","http://www.rcdb.com/./1026.htm","Phantasialand","http://www.rcdb.com/./4872.htm","1978","Sit Down","0","0","0","0","0","50.799764","6.880295","Germany"
"Greased Lightnin'","http://www.rcdb.com/./75.htm","California's Great America","http://www.rcdb.com/./4541.htm","1977","Sit Down","137","863","1","57","30","37.395422","-121.972210","USA"
"Greased Lightnin'","http://www.rcdb.com/./2379.htm","Six Flags Discovery Kingdom","http://www.rcdb.com/./4711.htm","2003","Sit Down","137","863","1","57","30","38.138523","-122.234273","USA"
"Great Russian Mountain","http://www.rcdb.com/./2867.htm","Wonder Island","http://www.rcdb.com/./5489.htm","2004","Sit Down","0","3225","0","54.1","0","59.972780","30.253762","Russia"
