"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Achterbahn","http://www.rcdb.com/./1023.htm","Rasti-Land","http://www.rcdb.com/./4896.htm","1991","Sit Down","27","679","0","21.7","44","52.098531","9.662658","Germany"
"Aftershock","http://www.rcdb.com/./4155.htm","Silverwood Theme Park","http://www.rcdb.com/./4564.htm","2008","Inverted","191","1204","3","65.6","92","47.906216","-116.708257","USA"
"Alton Mouse","http://www.rcdb.com/./1111.htm","Alton Towers","http://www.rcdb.com/./4796.htm","1988","Sit Down","56","1640","0","0","0","52.989203","-1.885014","UK"
"American Hills","http://www.rcdb.com/./2979.htm","Turkmenbashi Fairy Tale World","http://www.rcdb.com/./5687.htm","2006","Sit Down","42","1099","0","28.5","66","37.922280","58.372630","Turkmenistan"
"Anaconda","http://www.rcdb.com/./1560.htm","Luna Park Tel Aviv","http://www.rcdb.com/./5107.htm","2000","Sit Down","116","935","3","47","108","32.106625","34.811532","Israel"
"Ant Farm Express","http://www.rcdb.com/./706.htm","Wild Adventures","http://www.rcdb.com/./4703.htm","2000","Sit Down","27","679","0","21.7","44","30.720735","-83.321879","USA"
"Babylon","http://www.rcdb.com/./9075.htm","Happylon","http://www.rcdb.com/./9074.htm","2010","Sit Down","0","820","0","0","0","55.743900","37.508200","Filion Mall (Russian: Фили)"
"Backyardigans: Mission to Mars","http://www.rcdb.com/./968.htm","Movie Park Germany","http://www.rcdb.com/./4869.htm","1996","Sit Down","27","679","0","21.7","44","51.622113","6.974398","Germany"
"Barnstormer","http://www.rcdb.com/./274.htm","Walt Disney World - Magic Kingdom","http://www.rcdb.com/./4597.htm","1996","Sit Down","30","0","0","25","60","28.418756","-81.581222","USA"
"Bat","http://www.rcdb.com/./64.htm","Canada's Wonderland","http://www.rcdb.com/./4539.htm","1987","Sit Down","116","935","3","47","108","43.840556","-79.541874","Canada"
"Bat","http://www.rcdb.com/./2954.htm","Lagoon","http://www.rcdb.com/./4570.htm","2005","Inverted","48","1122","0","26","90","40.985200","-111.896340","USA"
"Batman The Ride","http://www.rcdb.com/./639.htm","Six Flags Mexico","http://www.rcdb.com/./4629.htm","2000","Inverted","109","2260","5","49.7","96","0","0","Mexico"
"Battlestar Galactica","http://www.rcdb.com/./4328.htm","Universal Studios Singapore","http://www.rcdb.com/./4859.htm","2010","Inverted","0","0","5","0","0","1.255817","103.818760","Singapore"
"Batwing","http://www.rcdb.com/./1089.htm","Six Flags America","http://www.rcdb.com/./4558.htm","2001","Flying","115","3340","5","50","122","38.908403","-76.774392","USA"
"Ben 10 - Ultimate Mission","http://www.rcdb.com/./9607.htm","Drayton Manor","http://www.rcdb.com/./4803.htm","2011","Sit Down","65","590","0","0","0","52.612092","-1.714996","UK"
"Big Air","http://www.rcdb.com/./8656.htm","E-DA Theme Park","http://www.rcdb.com/./8655.htm","2010","Sit Down","209","541","0","67.1","0","22.730759","120.409116",""
"Big Loop","http://www.rcdb.com/./986.htm","Heide-Park Soltau","http://www.rcdb.com/./4874.htm","1983","Sit Down","98","2316","4","39.2","0","53.024283","9.878941","Germany"
"Big Thunder Mountain","http://www.rcdb.com/./956.htm","Disneyland Paris - Disneyland Park","http://www.rcdb.com/./4864.htm","1992","Sit Down","72","4921","0","40.4","236","0","0","France"
"Black Hole Express","http://www.rcdb.com/./1396.htm","Kumdori Land","http://www.rcdb.com/./5037.htm","1993","Sit Down","170","3608","5","59","158","0","0",""
"Blackout","http://www.rcdb.com/./1224.htm","Suzuka Circuit","http://www.rcdb.com/./4969.htm","1995","Inverted","109","2260","5","49.7","96","34.847013","136.541240","Japan"
"Blue Tornado","http://www.rcdb.com/./961.htm","Gardaland","http://www.rcdb.com/./4866.htm","1998","Inverted","109","2510","5","49.7","102","45.456631","10.711766","Italy"
"Bocaraca","http://www.rcdb.com/./2956.htm","Parque de Diversiones Dr. Roberto Ortiz Brenes","http://www.rcdb.com/./5473.htm","2005","Sit Down","64","1148","2","37.3","0","0","0","Costa Rica"
"Bomborun","http://www.rcdb.com/./8651.htm","Rainbow MagicLand","http://www.rcdb.com/./5627.htm","2011","Sit Down","0","0","0","0","0","41.764850","12.959864","Italy"
