Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
BMT,4th Avenue,25 St,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,4th Ave,25th St,SE,40660323,-73997952
BMT,4th Avenue,25 St,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,4th Ave,25th St,SW,40660489,-73998220
BMT,4th Avenue,36 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,36th St,NE,40654365,-74004113
BMT,4th Avenue,36 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,36th St,NW,40654676,-74004306
BMT,4th Avenue,36 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,36th St,NW,40654490,-74004499
BMT,4th Avenue,4 Av-9 St,F,G,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,9th St,NE,40670387,-73988480
BMT,4th Avenue,4 Av-9 St,F,G,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,4th Ave,9th St,NW,40670538,-73988778
BMT,4th Avenue,45 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,45th St,NE,40649389,-74009333
BMT,4th Avenue,45 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,45th St,NE,40649265,-74009457
BMT,4th Avenue,45 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,45th St,NW,40649546,-74009602
BMT,4th Avenue,45 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,45th St,NW,40649424,-74009728
BMT,4th Avenue,53 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,4th Ave,52nd St,NW,40645619,-74013688
BMT,4th Avenue,53 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,53rd St,SE,40644601,-74014309
BMT,4th Avenue,53 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,53rd St,SE,40644493,-74014419
BMT,4th Avenue,53 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,53rd St,SW,40644756,-74014586
BMT,4th Avenue,53 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,53rd St,SW,40644653,-74014690
BMT,4th Avenue,59 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,59th St,NE,40641633,-74017362
BMT,4th Avenue,59 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,59th St,NE,40641435,-74017561
BMT,4th Avenue,59 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,59th St,NW,40641778,-74017722
BMT,4th Avenue,59 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,59th St,NW,40641606,-74017897
BMT,4th Avenue,59 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,4th Ave,60th St,SE,40640501,-74018531
BMT,4th Avenue,59 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,4th Ave,60th St,SW,40640682,-74018857
BMT,4th Avenue,77 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,77th St,NE,40629503,-74025452
BMT,4th Avenue,77 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,4th Ave,76th St,NW,40630221,-74025459
BMT,4th Avenue,77 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,77th St,NW,40629550,-74025731
BMT,4th Avenue,86 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,4th Ave,85th St,SW,40623498,-74028204
BMT,4th Avenue,86 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,86th St,SE,40622583,-74028315
BMT,4th Avenue,86 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,86th St,SW,40622656,-74028547
BMT,4th Avenue,95 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,4th Ave,93th St,NE,40617363,-74030404
BMT,4th Avenue,95 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,4th Ave,93th St,SW,40617587,-74030696
BMT,4th Avenue,95 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,95th St,NW,40616189,-74031234
BMT,4th Avenue,95 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,95th St,SW,40616021,-74031383
BMT,4th Avenue,95 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,5th Ave,95th St,NE,40615893,-74030860
BMT,4th Avenue,Atlantic Av-Pacific St,B,D,N,Q,R,2,3,4,5,,,TRUE,,TRUE,Stair,YES,,FULL,4th Ave,Pacific St,NE,40683928,-73978412
BMT,4th Avenue,Atlantic Av-Pacific St,B,D,N,Q,R,2,3,4,5,,,TRUE,,TRUE,Elevator,YES,,FULL,4th Ave,Pacific St,NE,40683805,-73978487
BMT,4th Avenue,Atlantic Av-Pacific St,B,D,N,Q,R,2,3,4,5,,,TRUE,,TRUE,Stair,YES,,FULL,4th Ave,Pacific St,NW,40683905,-73978879
BMT,4th Avenue,Bay Ridge Av,R,,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,4th Ave,68th St,NW,40635468,-74023313
BMT,4th Avenue,Bay Ridge Av,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,Bay Ridge Ave,NE,40634768,-74023339
BMT,4th Avenue,Bay Ridge Av,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,Bay Ridge Ave,NW,40634827,-74023580
BMT,4th Avenue,DeKalb Av,Q,R,,,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,Flatbush Ave,De Kalb Ave,SE,40689817,-73981082
BMT,4th Avenue,DeKalb Av,Q,R,,,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,Flatbush Ave,De Kalb Ave,SE,40689740,-73981156
BMT,4th Avenue,DeKalb Av,Q,R,,,,,,,,,,TRUE,,TRUE,Elevator,YES,,FULL,Flatbush Ave,De Kalb Ave,SE,40689804,-73981164
BMT,4th Avenue,DeKalb Av,Q,R,,,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,Flatbush Ave,De Kalb Ave,SW,40689810,-73981651
BMT,4th Avenue,DeKalb Av,Q,R,,,,,,,,,,TRUE,,TRUE,Stair,YES,,NONE,Flatbush Ave,Fleet St,NE,40691562,-73982048
BMT,4th Avenue,DeKalb Av,Q,R,,,,,,,,,,TRUE,,TRUE,Easement,YES,,NONE,Flatbush Ave,Fleet St,NW,40691540,-73982565
BMT,4th Avenue,Prospect Av,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,4th Ave,Prospect Ave,NE,40665299,-73992729
BMT,4th Avenue,Prospect Av,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,4th Ave,Prospect Ave,SW,40665058,-73993002
BMT,4th Avenue,Prospect Av,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,4th Ave,Prospect Ave,SE,40665269,-73993245
BMT,4th Avenue,Union St,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,4th Ave,Union St,SE,40677171,-73983020
BMT,4th Avenue,Union St,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,4th Ave,Union St,SE,40677001,-73983133
BMT,4th Avenue,Union St,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,4th Ave,Union St,SW,40677279,-73983327
BMT,4th Avenue,Union St,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,4th Ave,Union St,SW,40677135,-73983416
