PLAZAID,DATE,ETC,CASH
1,11/28/2011,"56,668","20,450"
2,11/28/2011,"72,172","14,136"
3,11/28/2011,"83,251","25,463"
4,11/28/2011,"53,187","6,746"
5,11/28/2011,"17,838","2,824"
6,11/28/2011,"16,153","3,295"
7,11/28/2011,"71,019","10,570"
8,11/28/2011,"40,928","5,269"
9,11/28/2011,"86,270","19,772"
11,11/28/2011,"76,046","14,488"
1,11/27/2011,"44,678","24,361"
2,11/27/2011,"59,793","15,810"
3,11/27/2011,"76,999","32,595"
4,11/27/2011,"50,951","9,220"
5,11/27/2011,"12,043","2,668"
6,11/27/2011,"11,331","3,313"
7,11/27/2011,"59,212","12,778"
8,11/27/2011,"30,482","5,958"
9,11/27/2011,"86,303","28,374"
11,11/27/2011,"62,300","20,572"
1,11/26/2011,"43,492","24,707"
2,11/26/2011,"53,534","15,912"
3,11/26/2011,"72,199","31,782"
4,11/26/2011,"50,152","9,906"
5,11/26/2011,"13,827","3,165"
6,11/26/2011,"13,183","3,706"
7,11/26/2011,"53,345","13,437"
8,11/26/2011,"28,004","5,992"
9,11/26/2011,"82,706","26,734"
11,11/26/2011,"68,661","20,620"
1,11/25/2011,"43,786","23,292"
2,11/25/2011,"46,861","14,655"
3,11/25/2011,"68,082","29,905"
4,11/25/2011,"41,172","7,829"
5,11/25/2011,"14,462","3,068"
6,11/25/2011,"13,037","3,740"
7,11/25/2011,"43,432","10,370"
8,11/25/2011,"27,650","5,225"
9,11/25/2011,"82,003","25,689"
11,11/25/2011,"68,240","18,355"
1,11/24/2011,"48,564","26,465"
2,11/24/2011,"58,798","17,944"
3,11/24/2011,"82,084","36,853"
4,11/24/2011,"53,516","9,660"
5,11/24/2011,"15,128","3,602"
6,11/24/2011,"11,909","4,295"
7,11/24/2011,"44,609","10,411"
8,11/24/2011,"31,094","6,337"
9,11/24/2011,"102,710","31,515"
11,11/24/2011,"81,512","24,845"
1,11/23/2011,"59,169","23,347"
2,11/23/2011,"72,257","17,066"
3,11/23/2011,"84,778","28,673"
4,11/23/2011,"53,963","9,426"
5,11/23/2011,"18,735","3,326"
6,11/23/2011,"17,540","3,975"
7,11/23/2011,"69,844","12,755"
8,11/23/2011,"46,677","7,697"
9,11/23/2011,"92,510","24,719"
11,11/23/2011,"86,068","18,156"
1,11/22/2011,"59,384","20,330"
2,11/22/2011,"80,249","15,888"
3,11/22/2011,"89,355","25,806"
4,11/22/2011,"62,005","8,241"
5,11/22/2011,"19,252","3,055"
6,11/22/2011,"17,305","3,739"
7,11/22/2011,"76,720","12,299"
8,11/22/2011,"49,053","6,581"
9,11/22/2011,"98,396","21,684"
11,11/22/2011,"82,012","14,357"
1,11/21/2011,"55,755","20,581"
2,11/21/2011,"70,138","14,152"
3,11/21/2011,"78,947","24,747"
4,11/21/2011,"55,385","7,112"
5,11/21/2011,"18,097","2,971"
6,11/21/2011,"16,423","3,371"
7,11/21/2011,"70,116","11,014"
8,11/21/2011,"45,178","5,968"
9,11/21/2011,"90,680","19,993"
11,11/21/2011,"75,720","13,846"
1,11/20/2011,"42,757","24,385"
2,11/20/2011,"55,385","15,575"
3,11/20/2011,"67,255","30,156"
4,11/20/2011,"49,094","8,352"
5,11/20/2011,"13,013","2,807"
6,11/20/2011,"11,957","3,473"
7,11/20/2011,"57,301","12,593"
8,11/20/2011,"32,027","6,606"
9,11/20/2011,"75,439","24,670"
11,11/20/2011,"61,660","18,078"
1,11/19/2011,"48,264","25,042"
2,11/19/2011,"57,870","17,448"
3,11/19/2011,"73,813","31,217"
4,11/19/2011,"50,246","9,387"
5,11/19/2011,"14,374","2,897"
6,11/19/2011,"13,911","3,889"
7,11/19/2011,"61,137","14,081"
8,11/19/2011,"33,586","7,285"
9,11/19/2011,"79,646","25,887"
11,11/19/2011,"71,492","19,461"
1,11/18/2011,"60,526","22,414"
2,11/18/2011,"79,826","16,843"
3,11/18/2011,"90,459","27,739"
4,11/18/2011,"62,271","9,328"
5,11/18/2011,"18,917","3,214"
6,11/18/2011,"18,033","4,016"
7,11/18/2011,"79,669","13,686"
8,11/18/2011,"46,358","7,134"
9,11/18/2011,"95,294","22,871"
11,11/18/2011,"83,812","16,035"
1,11/17/2011,"59,730","19,982"
2,11/17/2011,"79,917","14,721"
3,11/17/2011,"84,819","23,935"
4,11/17/2011,"58,918","7,308"
5,11/17/2011,"19,020","2,979"
6,11/17/2011,"17,324","3,699"
7,11/17/2011,"80,660","12,068"
8,11/17/2011,"50,444","6,994"
9,11/17/2011,"91,888","19,518"
11,11/17/2011,"81,205","13,656"
1,11/16/2011,"56,259","18,703"
2,11/16/2011,"75,953","13,930"
3,11/16/2011,"78,466","22,385"
4,11/16/2011,"56,585","6,859"
5,11/16/2011,"18,385","2,789"
6,11/16/2011,"16,543","3,369"
7,11/16/2011,"78,423","11,618"
8,11/16/2011,"49,228","6,399"
9,11/16/2011,"85,750","17,973"
11,11/16/2011,"78,157","13,169"
1,11/15/2011,"58,231","19,549"
2,11/15/2011,"70,509","13,086"
3,11/15/2011,"79,900","23,339"
4,11/15/2011,"56,805","6,907"
5,11/15/2011,"18,186","2,891"
6,11/15/2011,"16,519","3,369"
7,11/15/2011,"76,434","11,188"
8,11/15/2011,"47,707","6,114"
9,11/15/2011,"85,868","18,465"
11,11/15/2011,"77,544","13,314"
1,11/14/2011,"56,421","20,042"
2,11/14/2011,"70,752","13,452"
3,11/14/2011,"80,466","23,997"
4,11/14/2011,"54,201","6,838"
5,11/14/2011,"17,706","2,825"
6,11/14/2011,"16,235","3,289"
7,11/14/2011,"73,653","11,227"
8,11/14/2011,"43,049","5,470"
9,11/14/2011,"84,415","19,136"
11,11/14/2011,"74,943","13,904"
1,11/13/2011,"46,889","25,376"
2,11/13/2011,"68,823","18,386"
3,11/13/2011,"74,135","30,942"
4,11/13/2011,"50,483","8,627"
5,11/13/2011,"12,710","2,789"
6,11/13/2011,"11,661","3,376"
7,11/13/2011,"68,317","16,034"
8,11/13/2011,"29,906","6,280"
9,11/13/2011,"77,822","25,555"
11,11/13/2011,"65,223","19,113"
1,11/12/2011,"50,341","25,776"
2,11/12/2011,"65,457","19,757"
3,11/12/2011,"77,362","32,502"
4,11/12/2011,"50,692","9,325"
5,11/12/2011,"13,954","2,979"
6,11/12/2011,"14,021","3,890"
7,11/12/2011,"72,303","18,667"
8,11/12/2011,"33,399","7,582"
9,11/12/2011,"77,132","25,459"
11,11/12/2011,"71,996","19,830"
1,11/11/2011,"55,764","22,747"
2,11/11/2011,"75,213","17,150"
3,11/11/2011,"88,353","28,760"
4,11/11/2011,"60,156","9,265"
5,11/11/2011,"16,597","3,078"
6,11/11/2011,"15,135","3,715"
7,11/11/2011,"72,422","13,313"
8,11/11/2011,"43,438","7,160"
9,11/11/2011,"85,960","23,014"
11,11/11/2011,"80,386","17,129"
1,11/10/2011,"59,778","20,372"
2,11/10/2011,"80,801","15,732"
3,11/10/2011,"88,277","24,670"
4,11/10/2011,"61,169","7,826"
5,11/10/2011,"18,956","3,205"
6,11/10/2011,"17,279","3,783"
7,11/10/2011,"80,995","12,608"
8,11/10/2011,"50,986","6,874"
9,11/10/2011,"89,837","20,078"
11,11/10/2011,"83,215","14,678"
1,11/9/2011,"58,040","19,286"
2,11/9/2011,"76,066","13,755"
3,11/9/2011,"83,589","23,266"
4,11/9/2011,"57,207","6,949"
5,11/9/2011,"18,901","3,049"
6,11/9/2011,"17,125","3,532"
7,11/9/2011,"78,309","11,576"
8,11/9/2011,"49,055","6,235"
9,11/9/2011,"84,970","18,190"
11,11/9/2011,"79,105","13,814"
1,11/8/2011,"53,884","18,875"
2,11/8/2011,"71,255","13,429"
3,11/8/2011,"81,518","23,361"
4,11/8/2011,"55,002","6,636"
5,11/8/2011,"18,307","3,058"
6,11/8/2011,"15,911","3,497"
7,11/8/2011,"73,028","10,658"
8,11/8/2011,"46,953","6,253"
9,11/8/2011,"83,043","18,388"
11,11/8/2011,"75,564","13,735"
1,11/7/2011,"55,835","19,621"
2,11/7/2011,"70,891","13,900"
3,11/7/2011,"81,305","24,134"
4,11/7/2011,"52,682","6,794"
5,11/7/2011,"17,614","2,899"
6,11/7/2011,"16,349","3,377"
7,11/7/2011,"72,924","11,297"
8,11/7/2011,"44,165","6,059"
9,11/7/2011,"82,676","19,223"
11,11/7/2011,"75,680","14,198"
1,11/6/2011,"46,933","26,314"
2,11/6/2011,"49,589","16,348"
3,11/6/2011,"77,833","32,988"
4,11/6/2011,"47,540","8,355"
5,11/6/2011,"11,944","2,655"
6,11/6/2011,"11,836","3,497"
7,11/6/2011,"62,619","14,611"
8,11/6/2011,"30,259","6,791"
9,11/6/2011,"78,702","25,972"
11,11/6/2011,"39,520","12,429"
1,11/5/2011,"50,172","25,909"
2,11/5/2011,"54,253","16,258"
3,11/5/2011,"75,313","31,841"
4,11/5/2011,"50,376","9,169"
5,11/5/2011,"15,060","3,367"
6,11/5/2011,"14,423","4,006"
7,11/5/2011,"61,624","13,986"
8,11/5/2011,"36,726","7,812"
9,11/5/2011,"80,314","26,113"
11,11/5/2011,"74,502","19,926"
1,11/4/2011,"61,783","22,661"
2,11/4/2011,"75,696","16,112"
3,11/4/2011,"82,804","26,227"
4,11/4/2011,"59,374","8,541"
5,11/4/2011,"19,109","3,300"
6,11/4/2011,"17,885","4,046"
7,11/4/2011,"78,749","13,749"
8,11/4/2011,"47,124","6,950"
9,11/4/2011,"96,109","22,711"
11,11/4/2011,"83,341","16,249"
1,11/3/2011,"58,280","20,152"
2,11/3/2011,"79,616","14,546"
3,11/3/2011,"80,291","23,721"
4,11/3/2011,"58,886","7,363"
5,11/3/2011,"19,252","3,136"
6,11/3/2011,"17,461","3,797"
7,11/3/2011,"80,809","12,256"
8,11/3/2011,"50,836","6,735"
9,11/3/2011,"94,094","19,698"
11,11/3/2011,"80,462","13,704"
1,11/2/2011,"57,807","19,613"
2,11/2/2011,"74,454","13,774"
3,11/2/2011,"77,306","23,084"
4,11/2/2011,"56,450","6,860"
5,11/2/2011,"19,497","3,269"
