route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,A20111204WKD,A20111204WKD_000800_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_007300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_002700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_009300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_004700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_011300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_006700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_013300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_008700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_015300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_010700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_017300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_012700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_019300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_014700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_021300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_016700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_023300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_018700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_025300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_020700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_027300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_022700_1..S03R,SOUTH FERRY,1,,1..S03R
1,A20111204WKD,A20111204WKD_029300_1..N03R,VAN CORTLANDT PARK - 242 ST,0,,1..N03R
1,A20111204WKD,A20111204WKD_024700_1..S03R,SOUTH FERRY,1,,1..S03R
