Date Hour Close High Low Open Volume
2012-06-13 09:10 19.485 19.56 19.47 19.55 17575
2012-06-13 09:20 19.595 19.605 19.5 19.5 7064
2012-06-13 09:30 19.48 19.595 19.48 19.575 10159
2012-06-13 09:40 19.45 19.48 19.395 19.47 12908
2012-06-13 09:50 19.425 19.45 19.41 19.45 4233
2012-06-13 10:00 19.4 19.475 19.4 19.455 9853
2012-06-13 10:10 19.35 19.415 19.32 19.405 23346
2012-06-13 10:20 19.255 19.345 19.245 19.345 23718
2012-06-13 10:30 19.135 19.265 19.12 19.265 42697
2012-06-13 10:40 19.16 19.18 19.125 19.145 24762
2012-06-13 10:50 19.08 19.13 19.035 19.13 43081
2012-06-13 11:00 19.135 19.185 19.08 19.095 37337
2012-06-13 11:10 19.1 19.14 19.085 19.14 18597
2012-06-13 11:20 19.135 19.145 19.09 19.095 26950
2012-06-13 11:30 19.195 19.195 19.13 19.145 41588
2012-06-13 11:40 19.115 19.205 19.1 19.2 51564
2012-06-13 11:50 19.13 19.16 19.115 19.14 7573
2012-06-13 12:00 19.125 19.125 19.085 19.12 20440
2012-06-13 12:10 19.145 19.175 19.115 19.125 23768
2012-06-13 12:20 19.195 19.215 19.155 19.155 26568
2012-06-13 12:30 19.205 19.245 19.195 19.21 36661
2012-06-13 12:40 19.185 19.22 19.175 19.21 6066
2012-06-13 12:50 19.18 19.185 19.16 19.185 5045
2012-06-13 13:00 19.19 19.19 19.17 19.185 9792
2012-06-13 13:10 19.175 19.205 19.175 19.19 7386
2012-06-13 13:20 19.165 19.19 19.165 19.175 14913
2012-06-13 13:30 19.11 19.155 19.095 19.155 8803
2012-06-13 13:40 19.145 19.15 19.115 19.135 6730
2012-06-13 13:50 19.17 19.19 19.135 19.14 12780
2012-06-13 14:00 19.2 19.2 19.175 19.175 3363
2012-06-13 14:10 19.165 19.185 19.155 19.185 10403
2012-06-13 14:20 19.13 19.165 19.115 19.165 6795
2012-06-13 14:30 19.1 19.145 19.075 19.13 32898
2012-06-13 14:40 19.14 19.14 19.05 19.075 9067
2012-06-13 14:50 19.005 19.14 19.005 19.14 14299
2012-06-13 15:00 19.035 19.045 19.005 19.015 6122
2012-06-13 15:10 19.075 19.075 19.03 19.04 28892
2012-06-13 15:20 19.08 19.08 19.04 19.07 15146
2012-06-13 15:30 19.11 19.115 19.075 19.08 8048
2012-06-13 15:40 19.095 19.115 19.045 19.095 16570
2012-06-13 15:50 19.14 19.155 19.085 19.09 23532
2012-06-13 16:00 19.18 19.18 19.08 19.12 17650
2012-06-13 16:10 19.205 19.205 19.155 19.175 8632
2012-06-13 16:20 19.215 19.27 19.21 19.21 19315
2012-06-13 16:30 19.165 19.225 19.15 19.215 45462
2012-06-13 16:40 19.275 19.285 19.16 19.16 16878
2012-06-13 16:50 19.22 19.28 19.21 19.28 15089
2012-06-13 17:00 19.22 19.25 19.215 19.22 60632
2012-06-13 17:10 19.115 19.22 19.115 19.22 41255
2012-06-13 17:20 19.11 19.13 19.06 19.095 26446
2012-06-13 17:30 19.16 19.19 19.105 19.115 39322
2012-06-13 17:40 19.145 19.145 19.145 19.145 337786
2012-06-14 09:10 19.18 19.305 19.145 19.15 11632
2012-06-14 09:20 19.13 19.18 19.075 19.18 17182
2012-06-14 09:30 19.16 19.185 19.135 19.16 3721
2012-06-14 09:40 19.19 19.19 19.12 19.16 9224
2012-06-14 09:50 19.175 19.23 19.135 19.225 17942
2012-06-14 10:00 19.105 19.175 19.09 19.155 7417
2012-06-14 10:10 19.065 19.11 19.04 19.105 6302
2012-06-14 10:20 19.005 19.08 19.0 19.05 48355
