Date Hour Close High Low Open Volume
2012-06-13 09:00 15.555 15.555 15.555 15.555 1304
2012-06-13 09:10 15.505 15.63 15.5 15.555 54763
2012-06-13 09:20 15.515 15.515 15.455 15.48 11470
2012-06-13 09:30 15.595 15.595 15.495 15.5 11836
2012-06-13 09:40 15.555 15.605 15.52 15.595 91395
2012-06-13 09:50 15.535 15.56 15.505 15.56 35210
2012-06-13 10:00 15.53 15.555 15.52 15.55 21248
2012-06-13 10:10 15.51 15.555 15.48 15.545 40349
2012-06-13 10:20 15.55 15.575 15.51 15.52 31496
2012-06-13 10:30 15.545 15.59 15.54 15.55 66139
2012-06-13 10:40 15.5 15.55 15.5 15.55 6980
2012-06-13 10:50 15.44 15.46 15.42 15.46 22723
2012-06-13 11:00 15.45 15.46 15.425 15.44 18372
2012-06-13 11:10 15.435 15.46 15.435 15.45 11304
2012-06-13 11:20 15.5 15.515 15.44 15.44 11159
2012-06-13 11:30 15.52 15.545 15.515 15.515 14604
2012-06-13 11:40 15.455 15.52 15.445 15.52 19886
2012-06-13 11:50 15.45 15.475 15.43 15.455 5117
2012-06-13 12:00 15.45 15.45 15.395 15.45 33879
2012-06-13 12:10 15.46 15.46 15.425 15.43 7783
2012-06-13 12:20 15.415 15.46 15.41 15.46 11348
2012-06-13 12:30 15.43 15.445 15.42 15.44 11680
2012-06-13 12:40 15.4 15.44 15.4 15.44 1928
2012-06-13 12:50 15.395 15.395 15.375 15.395 4342
2012-06-13 13:00 15.395 15.395 15.38 15.39 785
2012-06-13 13:10 15.4 15.405 15.39 15.395 8499
2012-06-13 13:20 15.38 15.41 15.38 15.4 5903
2012-06-13 13:30 15.37 15.38 15.35 15.38 9971
2012-06-13 13:40 15.375 15.38 15.37 15.375 3139
2012-06-13 13:50 15.41 15.425 15.37 15.385 5519
2012-06-13 14:00 15.41 15.435 15.405 15.41 13699
2012-06-13 14:10 15.415 15.42 15.39 15.42 2864
2012-06-13 14:20 15.405 15.42 15.38 15.415 5633
2012-06-13 14:30 15.37 15.41 15.35 15.41 4778
2012-06-13 14:40 15.44 15.44 15.355 15.385 9451
2012-06-13 14:50 15.325 15.43 15.325 15.42 54116
2012-06-13 15:00 15.375 15.375 15.335 15.34 23631
2012-06-13 15:10 15.325 15.375 15.31 15.375 10703
2012-06-13 15:20 15.335 15.335 15.3 15.315 11009
2012-06-13 15:30 15.355 15.37 15.33 15.33 9670
2012-06-13 15:40 15.3 15.365 15.285 15.365 56078
2012-06-13 15:50 15.29 15.32 15.28 15.285 21062
2012-06-13 16:00 15.31 15.31 15.255 15.285 9942
2012-06-13 16:10 15.385 15.385 15.31 15.31 36884
2012-06-13 16:20 15.41 15.41 15.385 15.385 29287
2012-06-13 16:30 15.385 15.43 15.37 15.425 46853
2012-06-13 16:40 15.51 15.535 15.39 15.39 57747
2012-06-13 16:50 15.465 15.51 15.455 15.51 49878
2012-06-13 17:00 15.45 15.485 15.44 15.47 32310
2012-06-13 17:10 15.33 15.44 15.33 15.435 30738
2012-06-13 17:20 15.33 15.345 15.31 15.33 26466
2012-06-13 17:30 15.36 15.36 15.325 15.33 48755
2012-06-13 17:40 15.36 15.36 15.36 15.36 413808
2012-06-14 09:10 15.425 15.485 15.36 15.405 95011
2012-06-14 09:20 15.525 15.57 15.4 15.425 109885
2012-06-14 09:30 15.515 15.545 15.485 15.52 42556
2012-06-14 09:40 15.625 15.64 15.515 15.515 79591
2012-06-14 09:50 15.55 15.62 15.52 15.62 47113
2012-06-14 10:00 15.49 15.545 15.465 15.545 60339
2012-06-14 10:10 15.47 15.5 15.44 15.5 34870
2012-06-14 10:20 15.485 15.505 15.46 15.485 28451
2012-06-14 10:30 15.4 15.505 15.4 15.485 41522
2012-06-14 10:40 15.44 15.47 15.42 15.42 25338
2012-06-14 10:50 15.435 15.51 15.435 15.44 23552
2012-06-14 11:00 15.465 15.495 15.4 15.425 32819
2012-06-14 11:10 15.445 15.48 15.445 15.48 5672
