Date Hour Close High Low Open Volume
2012-06-13 09:10 23.055 23.13 22.93 22.955 32094
2012-06-13 09:20 23.15 23.15 23.07 23.07 14554
2012-06-13 09:30 23.045 23.135 23.04 23.135 11429
2012-06-13 09:40 22.925 23.045 22.88 23.04 15810
2012-06-13 09:50 22.93 22.95 22.885 22.935 8348
2012-06-13 10:00 23.0 23.0 22.935 22.95 16554
2012-06-13 10:10 22.965 23.015 22.895 23.005 31836
2012-06-13 10:20 22.865 22.96 22.82 22.955 9802
2012-06-13 10:30 22.775 22.845 22.775 22.835 7329
2012-06-13 10:40 22.76 22.775 22.74 22.745 12756
2012-06-13 10:50 22.64 22.745 22.575 22.74 15894
2012-06-13 11:00 22.64 22.655 22.635 22.635 1855
2012-06-13 11:10 22.625 22.69 22.61 22.66 16762
2012-06-13 11:20 22.645 22.645 22.6 22.635 3751
2012-06-13 11:30 22.61 22.655 22.57 22.645 15137
2012-06-13 11:40 22.46 22.61 22.445 22.61 10657
2012-06-13 11:50 22.47 22.51 22.465 22.47 16605
2012-06-13 12:00 22.385 22.47 22.355 22.47 20726
2012-06-13 12:10 22.47 22.47 22.35 22.385 12773
2012-06-13 12:20 22.395 22.5 22.395 22.475 20690
2012-06-13 12:30 22.525 22.525 22.395 22.395 13089
2012-06-13 12:40 22.575 22.585 22.53 22.53 4645
2012-06-13 12:50 22.565 22.57 22.55 22.565 6082
2012-06-13 13:00 22.58 22.58 22.565 22.57 3520
2012-06-13 13:10 22.58 22.62 22.575 22.575 8021
2012-06-13 13:20 22.56 22.59 22.535 22.57 8019
2012-06-13 13:30 22.46 22.55 22.46 22.55 9479
2012-06-13 13:40 22.49 22.52 22.465 22.465 14121
2012-06-13 13:50 22.57 22.57 22.49 22.49 6900
2012-06-13 14:00 22.595 22.62 22.565 22.57 4338
2012-06-13 14:10 22.58 22.605 22.575 22.6 4577
2012-06-13 14:20 22.535 22.59 22.51 22.58 4889
2012-06-13 14:30 22.48 22.53 22.48 22.53 12410
2012-06-13 14:40 22.5 22.5 22.415 22.47 11726
2012-06-13 14:50 22.385 22.505 22.35 22.505 14787
2012-06-13 15:00 22.39 22.415 22.385 22.385 5496
2012-06-13 15:10 22.345 22.38 22.335 22.38 11160
2012-06-13 15:20 22.31 22.345 22.305 22.335 17635
2012-06-13 15:30 22.41 22.43 22.31 22.31 16476
